summary_path,summary_sha256,manifest_path,manifest_sha256,queue_source_path,queue_source_sha256,runtime_config_path,runtime_config_sha256,output_root,queue_run_id,route_kind,selected_points,ok_points,failed_points,dry_run,matching_profile_ids,point_directories,sidecars,samples,component_qc,classification,eligible_for_attestation_input,blocker_count,blocker_codes,historical_fit_allowed
D:\gas_calibrator\_p9_20260707\h2o_post_s6_002090_write_verification_25c_305070_v1\h2o_post_s6_002090_write_verify_25c_305070_v1\queue_summary.json,1438d6fc3e6c6e1d5ab53db549741efda5c9a1aafd1c3af9c69737dee4a3e10c,D:\gas_calibrator\_p9_20260707\h2o_post_s6_002090_write_verification_25c_305070_v1\h2o_post_s6_002090_write_verify_25c_305070_v1\queue_manifest.csv,91a4a4a6a92cca706e93ee640dc99ae30f2143cb837711f14c9ee7343888d00c,D:\gas_calibrator\_p9_20260707\h2o_post_final_senco246_verification_25c_305070_v1\h2o_post_final_senco246_verify_25c_305070_queue.csv,f92fe93d9702bf010b1740771ddd3e270ab879492900238db7436c57b603d803,D:\gas_calibrator\_p9_20260704\pre_gas_readiness_6old_ready_for_co2_g1\v1_5_6old_co2_ready_config.json,981964d31397fe5f086015f5dc36201201e2a1823549bfe0fae8489ad1ef93d9,D:\gas_calibrator\_p9_20260707\h2o_post_s6_002090_write_verification_25c_305070_v1,h2o_post_s6_002090_write_verify_25c_305070_v1,h2o,3,3.0,0.0,False,[],3,3,3,0,review_required,False,3,"[""formal_route_readiness_not_pass"", ""no_profile_matches_selected_point_count"", ""point_component_qc_incomplete""]",False
D:\gas_calibrator\_p9_20260707\h2o_post_s6_neutral_verification_25c_305070_v1\h2o_post_s6_neutral_verify_25c_305070_v1\v1_5_h2o_open_flow_queue_20260707_094846\queue_summary.json,c1f009bdf6d85228028cd2b39da7eb15519436ad33066ea1c57e066a082385b2,D:\gas_calibrator\_p9_20260707\h2o_post_s6_neutral_verification_25c_305070_v1\h2o_post_s6_neutral_verify_25c_305070_v1\v1_5_h2o_open_flow_queue_20260707_094846\queue_manifest.csv,7eff6a11a9a4cd1ca25721d3babfe6f886ceb48e9575128345018cda0bfedd5f,D:\gas_calibrator\_p9_20260707\h2o_post_final_senco246_verification_25c_305070_v1\h2o_post_final_senco246_verify_25c_305070_queue.csv,f92fe93d9702bf010b1740771ddd3e270ab879492900238db7436c57b603d803,D:\gas_calibrator\_p9_20260704\pre_gas_readiness_6old_ready_for_co2_g1\v1_5_6old_co2_ready_config.json,981964d31397fe5f086015f5dc36201201e2a1823549bfe0fae8489ad1ef93d9,D:\gas_calibrator\_p9_20260707\h2o_post_s6_neutral_verification_25c_305070_v1\h2o_post_s6_neutral_verify_25c_305070_v1,v1_5_h2o_open_flow_queue_20260707_094846,h2o,3,3.0,0.0,False,[],3,3,3,0,review_required,False,3,"[""formal_route_readiness_not_pass"", ""no_profile_matches_selected_point_count"", ""point_component_qc_incomplete""]",False
D:\gas_calibrator\_p9_20260707\h2o_post_safe_s6_002_verification_25c_305070_v1\h2o_post_safe_s6_002_verify_25c_305070_v1\queue_summary.json,bcb96059db18d112291da3193147121c91e3b1ef88431036c1c4d6eff9e658e5,D:\gas_calibrator\_p9_20260707\h2o_post_safe_s6_002_verification_25c_305070_v1\h2o_post_safe_s6_002_verify_25c_305070_v1\queue_manifest.csv,7318b1568964cb5bdd56bc9a6549f799544cbadf6a235e8c7709800d8c4f8bff,D:\gas_calibrator\_p9_20260707\h2o_post_final_senco246_verification_25c_305070_v1\h2o_post_final_senco246_verify_25c_305070_queue.csv,f92fe93d9702bf010b1740771ddd3e270ab879492900238db7436c57b603d803,D:\gas_calibrator\_p9_20260704\pre_gas_readiness_6old_ready_for_co2_g1\v1_5_6old_co2_ready_config.json,981964d31397fe5f086015f5dc36201201e2a1823549bfe0fae8489ad1ef93d9,D:\gas_calibrator\_p9_20260707\h2o_post_safe_s6_002_verification_25c_305070_v1,h2o_post_safe_s6_002_verify_25c_305070_v1,h2o,3,3.0,0.0,False,[],3,3,3,0,review_required,False,3,"[""formal_route_readiness_not_pass"", ""no_profile_matches_selected_point_count"", ""point_component_qc_incomplete""]",False
D:\gas_calibrator\_p9_20260706\h2o_post_senco24_write_verification_5dev_no_temp_control_v1\h2o_post_senco24_write_verify_5dev_no_temp_control_v1\queue_summary.json,dcccf6efbc628d557a241e0ceba409666be43f89cb5ba296960187507c2881be,D:\gas_calibrator\_p9_20260706\h2o_post_senco24_write_verification_5dev_no_temp_control_v1\h2o_post_senco24_write_verify_5dev_no_temp_control_v1\queue_manifest.csv,44d7cb0429be2734bcda7ce6b8573050e19ad33c691fbc1181e610a561686cb3,D:\gas_calibrator\_p9_20260706\h2o_post_senco24_write_verification_5dev_no_temp_control_v1\h2o_post_senco24_write_verify_20c_30_70_queue.csv,2a060a092f18bcb4782f9fb488917edf730f2084f9e60b3168c3c0257d4df85f,D:\gas_calibrator\_p9_20260704\pre_gas_readiness_6old_ready_for_co2_g1\v1_5_6old_co2_ready_config.json,981964d31397fe5f086015f5dc36201201e2a1823549bfe0fae8489ad1ef93d9,D:\gas_calibrator\_p9_20260706\h2o_post_senco24_write_verification_5dev_no_temp_control_v1,h2o_post_senco24_write_verify_5dev_no_temp_control_v1,h2o,2,2.0,0.0,False,[],2,2,2,0,review_required,False,3,"[""formal_route_readiness_not_pass"", ""no_profile_matches_selected_point_count"", ""point_component_qc_incomplete""]",False
D:\gas_calibrator\_p9_20260706\h2o_post_senco24_write_verification_5dev_temp25_control_v1\h2o_post_senco24_write_verify_5dev_temp25_control_v1\queue_summary.json,0e99f727618fdb1fc0913e30408fdeffcdcbc3cebc354edc4b048957a75dcb40,D:\gas_calibrator\_p9_20260706\h2o_post_senco24_write_verification_5dev_temp25_control_v1\h2o_post_senco24_write_verify_5dev_temp25_control_v1\queue_manifest.csv,a6325b4d13c836f8100ee00979740efe4615571672e4ca280994fbdb9313faef,D:\gas_calibrator\_p9_20260706\h2o_post_senco24_write_verification_5dev_temp25_control_v1\h2o_post_senco24_write_verify_25c_30_70_queue.csv,f588d2896802dbd8536e852a8f0f918065b04c3f2604375442644c2dbede4ccc,D:\gas_calibrator\_p9_20260704\pre_gas_readiness_6old_ready_for_co2_g1\v1_5_6old_co2_ready_config.json,981964d31397fe5f086015f5dc36201201e2a1823549bfe0fae8489ad1ef93d9,D:\gas_calibrator\_p9_20260706\h2o_post_senco24_write_verification_5dev_temp25_control_v1,h2o_post_senco24_write_verify_5dev_temp25_control_v1,h2o,2,2.0,0.0,False,[],2,2,2,0,review_required,False,3,"[""formal_route_readiness_not_pass"", ""no_profile_matches_selected_point_count"", ""point_component_qc_incomplete""]",False
D:\gas_calibrator\_p9_20260707\h2o_bridge_formal_supplement_t30t40_50rh_v1\queue_summary.json,1071d983c66a6da47d17e3308a871725dfcb0a860a1c8e75210949652f2fdc14,D:\gas_calibrator\_p9_20260707\h2o_bridge_formal_supplement_t30t40_50rh_v1\queue_manifest.csv,cd2ed9d1e14d24c6c971ab9583e461d2927b09f8ae7b2043e1454d8f51eec259,D:\gas_calibrator\_p9_20260707\h2o_bridge_formal_supplement_t30t40_50rh_v1\h2o_bridge_formal_supplement_t30t40_50rh_queue.csv,4b7310944d6ab5b77bcdd0476f365a9e6d0b747550723736e0aad80cc40c5acd,D:\gas_calibrator\_p9_20260704\pre_gas_readiness_6old_ready_for_co2_g1\v1_5_6old_co2_ready_config.json,981964d31397fe5f086015f5dc36201201e2a1823549bfe0fae8489ad1ef93d9,D:\gas_calibrator\_p9_20260707\h2o_bridge_formal_supplement_t30t40_50rh_v1,h2o_bridge_formal_supplement_t30t40_50rh_v1,h2o,2,2.0,0.0,False,[],2,2,2,0,review_required,False,3,"[""formal_route_readiness_not_pass"", ""no_profile_matches_selected_point_count"", ""point_component_qc_incomplete""]",False
D:\gas_calibrator\_p9_20260707\h2o_lowrh_state_consistency_25c30rh_longpurge_v1\queue_summary.json,68693ef46f6325222c1095f65fa66a50161e99adedf764bd47f32d46169acfae,D:\gas_calibrator\_p9_20260707\h2o_lowrh_state_consistency_25c30rh_longpurge_v1\queue_manifest.csv,8be3c879b1f7d3cc749be6185633171f2d6d0efd24860f8b93aad73d7b95a57f,D:\gas_calibrator\_p9_20260707\h2o_post_final_senco246_verification_25c_305070_v1\h2o_post_final_senco246_verify_25c_305070_queue.csv,f92fe93d9702bf010b1740771ddd3e270ab879492900238db7436c57b603d803,D:\gas_calibrator\_p9_20260704\pre_gas_readiness_6old_ready_for_co2_g1\v1_5_6old_co2_ready_config.json,981964d31397fe5f086015f5dc36201201e2a1823549bfe0fae8489ad1ef93d9,D:\gas_calibrator\_p9_20260707\h2o_lowrh_state_consistency_25c30rh_longpurge_v1,h2o_lowrh_state_consistency_25c30rh_longpurge_v1,h2o,1,1.0,0.0,False,[],1,1,1,0,review_required,False,3,"[""formal_route_readiness_not_pass"", ""no_profile_matches_selected_point_count"", ""point_component_qc_incomplete""]",False
D:\gas_calibrator\_p9_20260708\co2_002090_targeted_recollect_queue_runs_v1\co2_002090_targeted_tier_a_recollect_v3_remaining\queue_summary.json,ace9b849ff8f31d8e415768c2a875752bfaf9a4459744f2853b2936a26513614,D:\gas_calibrator\_p9_20260708\co2_002090_targeted_recollect_queue_runs_v1\co2_002090_targeted_tier_a_recollect_v3_remaining\queue_manifest.csv,edee3608a329f278c45936b136bf28ccb5230dface0af738f94c413217c85f16,D:\gas_calibrator\_p9_20260708\co2_002090_targeted_recollect_runlist_v1\co2_002090_targeted_tier_a_remaining_after_p001_queue_subset.csv,35efb9a5a4e0ac3f343b0ca0395e072c43a7b76ad700a45369712a6727b3804e,D:\gas_calibrator\_p9_20260704\pre_gas_readiness_6old_ready_for_co2_g1\v1_5_6old_co2_ready_config.json,981964d31397fe5f086015f5dc36201201e2a1823549bfe0fae8489ad1ef93d9,D:\gas_calibrator\_p9_20260708\co2_002090_targeted_recollect_queue_runs_v1,co2_002090_targeted_tier_a_recollect_v3_remaining,co2,7,7.0,0.0,False,[],7,7,7,0,review_required,False,4,"[""duplicate_queue_summary_for_output_root"", ""formal_route_readiness_not_pass"", ""no_profile_matches_selected_point_count"", ""point_component_qc_incomplete""]",False
D:\gas_calibrator\_p9_20260706\h2o_005_bridge_repeat_20c_305070_v1\queue_summary.json,b23cdeaf665aefe87746f888cdecf6cac8dd7c13301946f90a069eca34a62b5a,D:\gas_calibrator\_p9_20260706\h2o_005_bridge_repeat_20c_305070_v1\queue_manifest.csv,7d6a5a15809853020edf929bd91446ee766983af6e933e57658f8ff1316e21b3,D:\gas_calibrator\_p9_20260706\h2o_005_bridge_repeat_20c_305070_v1\h2o_005_bridge_repeat_20c_305070_queue.csv,b911281c1994293057aa1bb1f93ba74b80da760271a3c8048ca46df4e2519d6f,D:\gas_calibrator\_p9_20260704\pre_gas_readiness_6old_ready_for_co2_g1\v1_5_6old_co2_ready_config.json,981964d31397fe5f086015f5dc36201201e2a1823549bfe0fae8489ad1ef93d9,D:\gas_calibrator\_p9_20260706\h2o_005_bridge_repeat_20c_305070_v1,h2o_005_bridge_repeat_20c_305070_v1,h2o,3,3.0,0.0,False,[],3,3,3,0,review_required,False,4,"[""duplicate_queue_summary_for_output_root"", ""formal_route_readiness_not_pass"", ""no_profile_matches_selected_point_count"", ""point_component_qc_incomplete""]",False
D:\gas_calibrator\_p9_20260708\h2o_4dev_post_s24_verify_notemp_25c_305070_v1\h2o4_notemp25_305070_live_v1\queue_summary.json,74a3629447b8ebc2adc1df4e0fada5cc491544cfbad5fe08ca22eba42c6dfc59,D:\gas_calibrator\_p9_20260708\h2o_4dev_post_s24_verify_notemp_25c_305070_v1\h2o4_notemp25_305070_live_v1\queue_manifest.csv,b5b0478a9bc7e8e4e5f9dbf5b18e34bc7aea4a4d4b2589d956a9f0fb92743f0f,D:\gas_calibrator\_p9_20260708\h2o_4dev_post_s24_verify_notemp_25c_305070_v1\h2o_4dev_post_s24_verify_notemp_25c_305070_queue.csv,d6fb30d5edc84e85b5c056f3464cbd15d20e6a39693952f53f0caf0fd420f79a,D:\gas_calibrator\_p9_20260708\h2o_4dev_post_s24_verify_notemp_25c_305070_v1\runtime_identity_bound_config_4active_001002010090_no005_no076.json,e7ad94c903ce4a13fdb1a1c168139f16d87f9a8316d0cedc3d1a86a996fd9111,D:\gas_calibrator\_p9_20260708\h2o_4dev_post_s24_verify_notemp_25c_305070_v1,h2o4_notemp25_305070_live_v1,h2o,3,3.0,0.0,False,[],3,3,3,0,review_required,False,4,"[""duplicate_queue_summary_for_output_root"", ""formal_route_readiness_not_pass"", ""no_profile_matches_selected_point_count"", ""point_component_qc_incomplete""]",False
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g6_T20_400_to_Tm20_finalparams\co2_6old_0620clean_mature45_g6_T20_400_to_Tm20_finalparams\queue_summary.json,0788cdb09bcf47f817e102162976f68e82c72960109b41059e53dae834101988,,,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g6_T20_400_to_Tm20_finalparams\co2_runner_queue_T20_400_to_Tm20.csv,67b5563d8648bb980d6f436e5e7d2054e331e6627340a61fb5030d4acd110f90,D:\gas_calibrator\_p9_20260704\pre_gas_readiness_6old_ready_for_co2_g1\v1_5_6old_co2_ready_config.json,981964d31397fe5f086015f5dc36201201e2a1823549bfe0fae8489ad1ef93d9,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g6_T20_400_to_Tm20_finalparams,co2_6old_0620clean_mature45_g6_T20_400_to_Tm20_finalparams,co2,27,,,False,[],0,0,0,0,review_required,False,5,"[""formal_route_readiness_not_pass"", ""manifest_row_count_mismatch"", ""no_profile_matches_selected_point_count"", ""queue_manifest_missing"", ""queue_summary_not_finalized_clean""]",False
D:\gas_calibrator\_p9_20260708\co2_002090_targeted_recollect_queue_runs_v1\co2_002090_targeted_tier_a_recollect_v2\queue_summary.json,170c72648e6eb46acb02ca2111d64f73db21c64efb36078e2607923fc94f908b,D:\gas_calibrator\_p9_20260708\co2_002090_targeted_recollect_queue_runs_v1\co2_002090_targeted_tier_a_recollect_v2\queue_manifest.csv,07760286bf35d76fad2c964ec458563eac9587a28cdb7685a014003c681a8fd8,D:\gas_calibrator\_p9_20260708\co2_002090_targeted_recollect_runlist_v1\co2_002090_targeted_tier_a_queue_subset.csv,ead8ca03876be87315c38959e18916a990abf16dee42a7e7cb94ae48be27f973,D:\gas_calibrator\_p9_20260704\pre_gas_readiness_6old_ready_for_co2_g1\v1_5_6old_co2_ready_config.json,981964d31397fe5f086015f5dc36201201e2a1823549bfe0fae8489ad1ef93d9,D:\gas_calibrator\_p9_20260708\co2_002090_targeted_recollect_queue_runs_v1,co2_002090_targeted_tier_a_recollect_v2,co2,8,,,False,[],1,1,1,0,review_required,False,6,"[""duplicate_queue_summary_for_output_root"", ""formal_route_readiness_not_pass"", ""manifest_row_count_mismatch"", ""no_profile_matches_selected_point_count"", ""point_component_qc_incomplete"", ""queue_summary_not_finalized_clean""]",False
