family_id,route_kind,point_id,point_index,temp_c,co2_ppm,hgen_c,rh_pct,point_path,has_conclusion_summary,has_frame_quality_summary,has_formal_quality_by_analyzer,quality_source,analyzer_rows,fit_eligible_rows,rejected_rows,grade_counts,conclusion_risk_level,status,exclusion_reason
mature_0620_legacy_ratio,co2,p011_T30_700ppm_fit,11,30.0,700.0,,,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p011_T30_700ppm_fit,True,True,True,formal_open_flow_data_quality_by_analyzer,6,2,4,"{""A_calibration_eligible"": 2, ""B_diagnostic_model_only"": 3, ""C_reject"": 1}",fail,fail,ratio_span=0.0006000>a_tol=0.0005000;ratio_span=0.0008000>a_tol=0.0005000;ratio_span=0.0013000>tol=0.0010000
mature_0620_legacy_ratio,co2,p012_T30_800ppm_fit,12,30.0,800.0,,,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p012_T30_800ppm_fit,True,True,True,formal_open_flow_data_quality_by_analyzer,6,3,3,"{""A_calibration_eligible"": 3, ""B_diagnostic_model_only"": 2, ""C_reject"": 1}",fail,fail,ratio_span=0.0008000>a_tol=0.0005000;ratio_span=0.0009000>a_tol=0.0005000;ratio_span=0.0018000>tol=0.0010000
mature_0620_legacy_ratio,co2,p013_T30_900ppm_fit,13,30.0,900.0,,,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p013_T30_900ppm_fit,True,True,True,formal_open_flow_data_quality_by_analyzer,6,1,5,"{""A_calibration_eligible"": 1, ""B_diagnostic_model_only"": 4, ""C_reject"": 1}",fail,fail,ratio_span=0.0006000>a_tol=0.0005000;ratio_span=0.0007000>a_tol=0.0005000;ratio_span=0.0008000>a_tol=0.0005000;ratio_span=0.0009000>a_tol=0.0005000;ratio_span=0.0013000>tol=0.0010000
mature_0620_legacy_ratio,co2,p014_T30_1000ppm_fit,14,30.0,1000.0,,,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p014_T30_1000ppm_fit,True,True,True,formal_open_flow_data_quality_by_analyzer,6,3,3,"{""A_calibration_eligible"": 3, ""B_diagnostic_model_only"": 2, ""C_reject"": 1}",fail,fail,ratio_span=0.0007000>a_tol=0.0005000;ratio_span=0.0011000>tol=0.0010000
mature_0620_legacy_ratio,co2,p015_T20_0ppm_fit,15,20.0,0.0,,,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p015_T20_0ppm_fit,True,True,True,formal_open_flow_data_quality_by_analyzer,6,1,5,"{""A_calibration_eligible"": 1, ""B_diagnostic_model_only"": 3, ""C_reject"": 2}",fail,fail,ratio_span=0.0006000>a_tol=0.0005000;ratio_span=0.0007000>a_tol=0.0005000;ratio_span=0.0011000>tol=0.0010000;ratio_span=0.0014000>tol=0.0010000
mature_0620_legacy_ratio,co2,p016_T20_100ppm_fit,16,20.0,100.0,,,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p016_T20_100ppm_fit,True,True,True,formal_open_flow_data_quality_by_analyzer,6,2,4,"{""A_calibration_eligible"": 2, ""B_diagnostic_model_only"": 3, ""C_reject"": 1}",fail,fail,ratio_span=0.0007000>a_tol=0.0005000;ratio_span=0.0009000>a_tol=0.0005000;ratio_span=0.0010000>tol=0.0010000
mature_0620_legacy_ratio,co2,p017_T20_200ppm_fit,17,20.0,200.0,,,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p017_T20_200ppm_fit,True,True,True,formal_open_flow_data_quality_by_analyzer,6,2,4,"{""A_calibration_eligible"": 2, ""B_diagnostic_model_only"": 3, ""C_reject"": 1}",fail,fail,ratio_span=0.0006000>a_tol=0.0005000;ratio_span=0.0008000>a_tol=0.0005000;ratio_span=0.0010000>tol=0.0010000
mature_0620_legacy_ratio,co2,p018_T20_300ppm_fit,18,20.0,300.0,,,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p018_T20_300ppm_fit,True,True,True,formal_open_flow_data_quality_by_analyzer,6,1,5,"{""A_calibration_eligible"": 1, ""C_reject"": 5}",fail,fail,ratio_span=0.0034000>tol=0.0010000;ratio_span=0.0035000>tol=0.0010000;ratio_span=0.0039000>tol=0.0010000;ratio_span=0.0040000>tol=0.0010000;ratio_span=0.0042000>tol=0.0010000
mature_0620_legacy_ratio,co2,p019_T20_400ppm_fit,19,20.0,400.0,,,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p019_T20_400ppm_fit,True,True,True,formal_open_flow_data_quality_by_analyzer,6,2,4,"{""A_calibration_eligible"": 2, ""B_diagnostic_model_only"": 2, ""C_reject"": 2}",fail,fail,ratio_span=0.0007000>a_tol=0.0005000;ratio_span=0.0010000>a_tol=0.0005000;ratio_span=0.0012000>tol=0.0010000;ratio_span=0.0015000>tol=0.0010000
mature_0620_legacy_ratio,co2,p020_T20_500ppm_fit,20,20.0,500.0,,,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p020_T20_500ppm_fit,True,True,True,formal_open_flow_data_quality_by_analyzer,6,3,3,"{""A_calibration_eligible"": 3, ""B_diagnostic_model_only"": 2, ""C_reject"": 1}",fail,fail,ratio_span=0.0006000>a_tol=0.0005000;ratio_span=0.0008000>a_tol=0.0005000;ratio_span=0.0017000>tol=0.0010000
mature_0620_legacy_ratio,co2,p021_T20_600ppm_fit,21,20.0,600.0,,,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p021_T20_600ppm_fit,True,True,True,formal_open_flow_data_quality_by_analyzer,6,1,5,"{""A_calibration_eligible"": 1, ""B_diagnostic_model_only"": 4, ""C_reject"": 1}",fail,fail,ratio_span=0.0005000>a_tol=0.0005000;ratio_span=0.0007000>a_tol=0.0005000;ratio_span=0.0008000>a_tol=0.0005000;ratio_span=0.0010000>a_tol=0.0005000;ratio_span=0.0012000>tol=0.0010000
mature_0620_legacy_ratio,co2,p022_T20_700ppm_fit,22,20.0,700.0,,,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p022_T20_700ppm_fit,True,True,True,formal_open_flow_data_quality_by_analyzer,6,3,3,"{""A_calibration_eligible"": 3, ""B_diagnostic_model_only"": 1, ""C_reject"": 2}",fail,fail,ratio_span=0.0007000>a_tol=0.0005000;ratio_span=0.0010000>tol=0.0010000;ratio_span=0.0017000>tol=0.0010000
mature_0620_legacy_ratio,co2,p023_T20_800ppm_fit,23,20.0,800.0,,,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p023_T20_800ppm_fit,True,True,True,formal_open_flow_data_quality_by_analyzer,6,2,4,"{""A_calibration_eligible"": 2, ""B_diagnostic_model_only"": 3, ""C_reject"": 1}",fail,fail,ratio_span=0.0005000>a_tol=0.0005000;ratio_span=0.0006000>a_tol=0.0005000;ratio_span=0.0007000>a_tol=0.0005000;ratio_span=0.0013000>tol=0.0010000
mature_0620_legacy_ratio,co2,p024_T20_900ppm_fit,24,20.0,900.0,,,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p024_T20_900ppm_fit,True,True,True,formal_open_flow_data_quality_by_analyzer,6,3,3,"{""A_calibration_eligible"": 3, ""B_diagnostic_model_only"": 1, ""C_reject"": 2}",fail,fail,ratio_span=0.0007000>a_tol=0.0005000;ratio_span=0.0014000>tol=0.0010000;ratio_span=0.0016000>tol=0.0010000
mature_0620_legacy_ratio,co2,p025_T20_1000ppm_fit,25,20.0,1000.0,,,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p025_T20_1000ppm_fit,True,True,True,formal_open_flow_data_quality_by_analyzer,6,2,4,"{""A_calibration_eligible"": 2, ""B_diagnostic_model_only"": 3, ""C_reject"": 1}",fail,fail,ratio_span=0.0006000>a_tol=0.0005000;ratio_span=0.0008000>a_tol=0.0005000;ratio_span=0.0016000>tol=0.0010000
mature_0620_legacy_ratio,co2,p026_T10_0ppm_fit,26,10.0,0.0,,,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p026_T10_0ppm_fit,True,True,True,formal_open_flow_data_quality_by_analyzer,6,1,5,"{""A_calibration_eligible"": 1, ""B_diagnostic_model_only"": 5}",fail,fail,ratio_span=0.0006000>a_tol=0.0005000;ratio_span=0.0007000>a_tol=0.0005000;ratio_span=0.0010000>a_tol=0.0005000
mature_0620_legacy_ratio,co2,p027_T10_100ppm_fit,27,10.0,100.0,,,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p027_T10_100ppm_fit,True,True,True,formal_open_flow_data_quality_by_analyzer,6,2,4,"{""A_calibration_eligible"": 2, ""B_diagnostic_model_only"": 1, ""C_reject"": 3}",fail,fail,ratio_span=0.0006000>a_tol=0.0005000;ratio_span=0.0010000>tol=0.0010000;ratio_span=0.0011000>tol=0.0010000;ratio_span=0.0017000>tol=0.0010000
mature_0620_legacy_ratio,co2,p028_T10_200ppm_fit,28,10.0,200.0,,,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p028_T10_200ppm_fit,True,True,True,formal_open_flow_data_quality_by_analyzer,6,2,4,"{""A_calibration_eligible"": 2, ""B_diagnostic_model_only"": 2, ""C_reject"": 2}",fail,fail,ratio_span=0.0006000>a_tol=0.0005000;ratio_span=0.0008000>a_tol=0.0005000;ratio_span=0.0011000>tol=0.0010000;ratio_span=0.0019000>tol=0.0010000
mature_0620_legacy_ratio,co2,p029_T10_300ppm_fit,29,10.0,300.0,,,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p029_T10_300ppm_fit,True,True,True,formal_open_flow_data_quality_by_analyzer,6,1,5,"{""A_calibration_eligible"": 1, ""B_diagnostic_model_only"": 4, ""C_reject"": 1}",fail,fail,ratio_span=0.0006000>a_tol=0.0005000;ratio_span=0.0007000>a_tol=0.0005000;ratio_span=0.0009000>a_tol=0.0005000;ratio_span=0.0012000>tol=0.0010000
mature_0620_legacy_ratio,co2,p030_T10_400ppm_fit,30,10.0,400.0,,,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p030_T10_400ppm_fit,True,True,True,formal_open_flow_data_quality_by_analyzer,6,3,3,"{""A_calibration_eligible"": 3, ""B_diagnostic_model_only"": 1, ""C_reject"": 2}",fail,fail,ratio_span=0.0007000>a_tol=0.0005000;ratio_span=0.0016000>tol=0.0010000;ratio_span=0.0018000>tol=0.0010000
mature_0620_legacy_ratio,co2,p031_T10_500ppm_fit,31,10.0,500.0,,,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p031_T10_500ppm_fit,True,True,True,formal_open_flow_data_quality_by_analyzer,6,3,3,"{""A_calibration_eligible"": 3, ""B_diagnostic_model_only"": 2, ""C_reject"": 1}",fail,fail,ratio_span=0.0006000>a_tol=0.0005000;ratio_span=0.0010000>a_tol=0.0005000;ratio_span=0.0015000>tol=0.0010000
mature_0620_legacy_ratio,co2,p032_T10_600ppm_fit,32,10.0,600.0,,,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p032_T10_600ppm_fit,True,True,True,formal_open_flow_data_quality_by_analyzer,6,2,4,"{""A_calibration_eligible"": 2, ""B_diagnostic_model_only"": 3, ""C_reject"": 1}",fail,fail,ratio_span=0.0006000>a_tol=0.0005000;ratio_span=0.0008000>a_tol=0.0005000;ratio_span=0.0010000>a_tol=0.0005000;ratio_span=0.0012000>tol=0.0010000
mature_0620_legacy_ratio,co2,p033_T10_700ppm_fit,33,10.0,700.0,,,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p033_T10_700ppm_fit,True,True,True,formal_open_flow_data_quality_by_analyzer,6,2,4,"{""A_calibration_eligible"": 2, ""B_diagnostic_model_only"": 2, ""C_reject"": 2}",fail,fail,ratio_span=0.0007000>a_tol=0.0005000;ratio_span=0.0009000>a_tol=0.0005000;ratio_span=0.0010000>tol=0.0010000;ratio_span=0.0013000>tol=0.0010000
mature_0620_legacy_ratio,co2,p034_T10_800ppm_fit,34,10.0,800.0,,,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p034_T10_800ppm_fit,True,True,True,formal_open_flow_data_quality_by_analyzer,6,3,3,"{""A_calibration_eligible"": 3, ""B_diagnostic_model_only"": 2, ""C_reject"": 1}",fail,fail,ratio_span=0.0006000>a_tol=0.0005000;ratio_span=0.0009000>a_tol=0.0005000;ratio_span=0.0014000>tol=0.0010000
mature_0620_legacy_ratio,co2,p035_T10_900ppm_fit,35,10.0,900.0,,,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p035_T10_900ppm_fit,True,True,True,formal_open_flow_data_quality_by_analyzer,6,1,5,"{""A_calibration_eligible"": 1, ""C_reject"": 5}",fail,fail,ratio_span=0.0287000>tol=0.0010000;ratio_span=0.0298000>tol=0.0010000;ratio_span=0.0334000>tol=0.0010000;ratio_span=0.0370000>tol=0.0010000;ratio_span=0.0389000>tol=0.0010000
mature_0620_legacy_ratio,co2,p036_T10_1000ppm_fit,36,10.0,1000.0,,,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p036_T10_1000ppm_fit,True,True,True,formal_open_flow_data_quality_by_analyzer,6,3,3,"{""A_calibration_eligible"": 3, ""B_diagnostic_model_only"": 1, ""C_reject"": 2}",fail,fail,ratio_span=0.0009000>a_tol=0.0005000;ratio_span=0.0011000>tol=0.0010000;ratio_span=0.0015000>tol=0.0010000
mature_0620_legacy_ratio,co2,p037_T0_0ppm_fit,37,0.0,0.0,,,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p037_T0_0ppm_fit,True,True,True,formal_open_flow_data_quality_by_analyzer,6,2,4,"{""A_calibration_eligible"": 2, ""B_diagnostic_model_only"": 2, ""C_reject"": 2}",fail,fail,ratio_span=0.0006000>a_tol=0.0005000;ratio_span=0.0007000>a_tol=0.0005000;ratio_span=0.0012000>tol=0.0010000;ratio_span=0.0013000>tol=0.0010000
mature_0620_legacy_ratio,co2,p038_T0_400ppm_fit,38,0.0,400.0,,,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p038_T0_400ppm_fit,True,True,True,formal_open_flow_data_quality_by_analyzer,6,2,4,"{""A_calibration_eligible"": 2, ""B_diagnostic_model_only"": 4}",fail,fail,ratio_span=0.0006000>a_tol=0.0005000;ratio_span=0.0007000>a_tol=0.0005000;ratio_span=0.0008000>a_tol=0.0005000
mature_0620_legacy_ratio,co2,p039_T0_1000ppm_fit,39,0.0,1000.0,,,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p039_T0_1000ppm_fit,True,True,True,formal_open_flow_data_quality_by_analyzer,6,3,3,"{""A_calibration_eligible"": 3, ""B_diagnostic_model_only"": 3}",fail,fail,ratio_span=0.0006000>a_tol=0.0005000;ratio_span=0.0007000>a_tol=0.0005000;ratio_span=0.0008000>a_tol=0.0005000
mature_0620_legacy_ratio,co2,p040_Tm10_0ppm_fit,40,-10.0,0.0,,,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p040_Tm10_0ppm_fit,False,False,False,,0,0,0,{},,missing_conclusion,
mature_0620_legacy_ratio,co2,p041_Tm10_400ppm_fit,41,-10.0,400.0,,,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p041_Tm10_400ppm_fit,False,False,False,,0,0,0,{},,missing_conclusion,
mature_0620_legacy_ratio,co2,p042_Tm10_1000ppm_fit,42,-10.0,1000.0,,,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p042_Tm10_1000ppm_fit,True,True,True,formal_open_flow_data_quality_by_analyzer,6,1,5,"{""A_calibration_eligible"": 1, ""C_reject"": 5}",fail,fail,ratio_span=0.0589000>tol=0.0010000;ratio_span=0.0632000>tol=0.0010000;ratio_span=0.0667000>tol=0.0010000;ratio_span=0.0726000>tol=0.0010000;ratio_span=0.0738000>tol=0.0010000
mature_0620_legacy_ratio,co2,p043_Tm20_0ppm_fit,43,-20.0,0.0,,,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p043_Tm20_0ppm_fit,True,True,True,formal_open_flow_data_quality_by_analyzer,6,3,3,"{""A_calibration_eligible"": 3, ""B_diagnostic_model_only"": 2, ""C_reject"": 1}",fail,fail,ratio_span=0.0005000>a_tol=0.0005000;ratio_span=0.0006000>a_tol=0.0005000;ratio_span=0.0011000>tol=0.0010000
mature_0620_legacy_ratio,co2,p044_Tm20_400ppm_fit,44,-20.0,400.0,,,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p044_Tm20_400ppm_fit,True,True,True,formal_open_flow_data_quality_by_analyzer,6,4,2,"{""A_calibration_eligible"": 4, ""B_diagnostic_model_only"": 1, ""C_reject"": 1}",fail,fail,ratio_span=0.0007000>a_tol=0.0005000;ratio_span=0.0012000>tol=0.0010000
mature_0620_legacy_ratio,co2,p045_Tm20_1000ppm_fit,45,-20.0,1000.0,,,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p045_Tm20_1000ppm_fit,True,True,True,formal_open_flow_data_quality_by_analyzer,6,3,3,"{""A_calibration_eligible"": 3, ""B_diagnostic_model_only"": 3}",fail,fail,ratio_span=0.0007000>a_tol=0.0005000;ratio_span=0.0008000>a_tol=0.0005000
new_algorithm_shadow_run,co2,p001_T40_0ppm_fit,1,40.0,0.0,,,D:\gas_calibrator\_worktrees\v1_5_fixed_wait_window_gate_1aee26d_clean\_handoff\new_algo_001_init_20260627\formal\co2_open_flow_0620_mature_20260627_r1\co2_r2\p001_T40_0ppm_fit,True,True,False,frame_quality_summary,1,0,0,"{""frame_quality_only"": 1}",warn,warn,可用=10
new_algorithm_shadow_run,co2,p002_T40_400ppm_fit,2,40.0,400.0,,,D:\gas_calibrator\_worktrees\v1_5_fixed_wait_window_gate_1aee26d_clean\_handoff\new_algo_001_init_20260627\formal\co2_open_flow_0620_mature_20260627_r1\co2_r2\p002_T40_400ppm_fit,True,True,False,frame_quality_summary,1,0,0,"{""frame_quality_only"": 1}",warn,warn,可用=10
new_algorithm_shadow_run,co2,p003_T40_1000ppm_fit,3,40.0,1000.0,,,D:\gas_calibrator\_worktrees\v1_5_fixed_wait_window_gate_1aee26d_clean\_handoff\new_algo_001_init_20260627\formal\co2_open_flow_0620_mature_20260627_r1\co2_r2\p003_T40_1000ppm_fit,True,True,False,frame_quality_summary,1,0,0,"{""frame_quality_only"": 1}",warn,warn,可用=10
new_algorithm_shadow_run,co2,p004_T30_0ppm_fit,4,30.0,0.0,,,D:\gas_calibrator\_worktrees\v1_5_fixed_wait_window_gate_1aee26d_clean\_handoff\new_algo_001_init_20260627\formal\co2_open_flow_0620_mature_20260627_r1\co2_r2\p004_T30_0ppm_fit,True,True,False,frame_quality_summary,1,0,0,"{""frame_quality_only"": 1}",warn,warn,可用=10
new_algorithm_shadow_run,co2,p005_T30_100ppm_fit,5,30.0,100.0,,,D:\gas_calibrator\_worktrees\v1_5_fixed_wait_window_gate_1aee26d_clean\_handoff\new_algo_001_init_20260627\formal\co2_open_flow_0620_mature_20260627_r1\co2_r2\p005_T30_100ppm_fit,True,True,False,frame_quality_summary,1,0,0,"{""frame_quality_only"": 1}",warn,warn,可用=10
new_algorithm_shadow_run,co2,p006_T30_200ppm_fit,6,30.0,200.0,,,D:\gas_calibrator\_worktrees\v1_5_fixed_wait_window_gate_1aee26d_clean\_handoff\new_algo_001_init_20260627\formal\co2_open_flow_0620_mature_20260627_r1\co2_r2\p006_T30_200ppm_fit,True,True,False,frame_quality_summary,1,0,0,"{""frame_quality_only"": 1}",warn,warn,可用=10
new_algorithm_shadow_run,co2,p007_T30_300ppm_fit,7,30.0,300.0,,,D:\gas_calibrator\_worktrees\v1_5_fixed_wait_window_gate_1aee26d_clean\_handoff\new_algo_001_init_20260627\formal\co2_open_flow_0620_mature_20260627_r1\co2_r2\p007_T30_300ppm_fit,True,True,False,frame_quality_summary,1,0,0,"{""frame_quality_only"": 1}",warn,warn,可用=10
new_algorithm_shadow_run,co2,p008_T30_400ppm_fit,8,30.0,400.0,,,D:\gas_calibrator\_worktrees\v1_5_fixed_wait_window_gate_1aee26d_clean\_handoff\new_algo_001_init_20260627\formal\co2_open_flow_0620_mature_20260627_r1\co2_r2\p008_T30_400ppm_fit,True,True,False,frame_quality_summary,1,0,0,"{""frame_quality_only"": 1}",warn,warn,可用=10
