candidate_index,route_kind,point_name,point_dir,planned_output_path,source_artifact_count,source_packet_sha256,preflight_json_sha256,blocked_plan_json_sha256,candidate_binding_sha256,binding_ready_for_design_review,blocker_codes,payload_derivation_supported,write_execution_supported,target_create_mode,overwrite_allowed,manual_gate_review_required
11,co2,p006_T30_500ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p006_T30_500ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p006_T30_500ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,5,007ab86d033d6d7f684924dac38485818561041f14c021281bb53dea80b7483b,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,5968170e6004a65b40e83c6c624569c901758de4465b8f2b13c2fa1b79c81c22,True,[],False,False,exclusive_create_only_future_contract,False,True
12,co2,p007_T30_600ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p007_T30_600ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p007_T30_600ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,5,4e2c4e30d12a1661c470208a7c71210ec32c14352e6bd5a8f0c9c7f8e6a154dd,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,0cbde8ba0822f642cfe671a25f68d630a45a6206e1a017e5e21bf458b47afefd,True,[],False,False,exclusive_create_only_future_contract,False,True
13,co2,p008_T30_700ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p008_T30_700ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p008_T30_700ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,5,702578a31baa7bbf94d6e298dd2c0d62cb2cb1ac4f70ee4f856f28130b7986d1,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,c6ed820f66690333e85c15f8012a8cab4943f81cd41e84c37c09fe69e49163df,True,[],False,False,exclusive_create_only_future_contract,False,True
14,co2,p009_T30_800ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p009_T30_800ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p009_T30_800ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,5,2e3b33fccc9065e4affbff4172c5fd4e405c4f1c27cdbd883babeecb13c11a23,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,8b059f1dab3c3e66a0d6e61e1a17444398911b9a4c82b52a583de3d5beacd294,True,[],False,False,exclusive_create_only_future_contract,False,True
15,co2,p010_T30_900ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p010_T30_900ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p010_T30_900ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,5,62d38209c35797e142cbd8f713b8f876d0e69234c99873bd04adbb9a0a0d7727,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,40de5ba1d7b1c5676057da1163dcaee70db3e0eea79319326d9d5f0c52dd717c,True,[],False,False,exclusive_create_only_future_contract,False,True
16,co2,p011_T30_1000ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p011_T30_1000ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p011_T30_1000ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,5,17fe4ff42f71a095e4ca663c1a12749a8f514fc47063ccf810533991e97c67d7,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,ab3b3f709c17f9d4efb2b69be48d7acb95b8704dcd321839c6bc12ce031fb18d,True,[],False,False,exclusive_create_only_future_contract,False,True
17,co2,p012_T20_0ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p012_T20_0ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p012_T20_0ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,5,343e68c368e466d948c7572f4ec4fef49440d891e4aea5bfc73e1c9a9814392e,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,39b64b751baab589e2d6cd09a1df32d6b80b61f75d3ba82783ad607743d27c6c,True,[],False,False,exclusive_create_only_future_contract,False,True
18,co2,p013_T20_100ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p013_T20_100ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p013_T20_100ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,5,31cf30897b195a22dd394ad342483d3b1bea4586dd97c788e67b224d1769a3ba,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,16fb8d5d8e049a3b7fa84a4db9b551f73d293b3a228068d4b0e8070af8fca589,True,[],False,False,exclusive_create_only_future_contract,False,True
19,co2,p014_T20_200ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p014_T20_200ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p014_T20_200ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,5,325837d5852b42e8a2a3ca5ba0bbbcf0f434c5cabecf2d99f2be40a9b05821ed,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,3d7b33fb1295677bfd5ae0e1b7b3de52865e65b700327cd4eaecb6cc14e85012,True,[],False,False,exclusive_create_only_future_contract,False,True
20,co2,p015_T20_300ppm_fit_retry1,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g5_T20_300_retry_finalparams\p015_T20_300ppm_fit_retry1,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g5_T20_300_retry_finalparams\p015_T20_300ppm_fit_retry1\formal_open_flow_data_quality_by_analyzer.csv,5,296f04a3f67974d4bbfcb86a699d056c0ed5bc7eac71b9de52a6839644cc2392,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,db59bffff8509e26aa9c58f30a3ccfd5e17b2bfa754f4e9af7c3e10197c337ce,True,[],False,False,exclusive_create_only_future_contract,False,True
21,co2,p016_T20_400ppm_fit_retry1,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g7_T20_400_retry_finalparams\p016_T20_400ppm_fit_retry1,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g7_T20_400_retry_finalparams\p016_T20_400ppm_fit_retry1\formal_open_flow_data_quality_by_analyzer.csv,5,513cb30aa778bc0f43428017ad44f15c64000e8e868130809423f715c428413c,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,6b220fc0b1711894c885680b415e3ca2c50bcf2b29fc63c7657897a418eb6da6,True,[],False,False,exclusive_create_only_future_contract,False,True
22,co2,p017_T20_500ppm_fit_retry1,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g8c_T20_500_direct_240purge_finalparams\p017_T20_500ppm_fit_retry1,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g8c_T20_500_direct_240purge_finalparams\p017_T20_500ppm_fit_retry1\formal_open_flow_data_quality_by_analyzer.csv,5,1fa473b49894bb962f16d5cdc4bde4adeef44baf27860786381d083d3ca4f8da,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,a79fc35529331a50353a6ac91823f66569fc3fde9a28e6e6134af19bc8364ec7,True,[],False,False,exclusive_create_only_future_contract,False,True
23,co2,p018_T20_600ppm_fit_retry1,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g8d_T20_600_direct_240purge_finalparams\p018_T20_600ppm_fit_retry1,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g8d_T20_600_direct_240purge_finalparams\p018_T20_600ppm_fit_retry1\formal_open_flow_data_quality_by_analyzer.csv,5,bb3fa050cecd2488f5ad724a2ad3b0b98bc4e58a893020edc43cf01876a96f96,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,61606224aac26764fe3d22a5881235e01387ffd94793864106c1eb87a2c5c05e,True,[],False,False,exclusive_create_only_future_contract,False,True
24,co2,p019_T20_700ppm_fit_retry1,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g8e_T20_700_direct_240purge_finalparams\p019_T20_700ppm_fit_retry1,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g8e_T20_700_direct_240purge_finalparams\p019_T20_700ppm_fit_retry1\formal_open_flow_data_quality_by_analyzer.csv,5,13beb73197cc2c0fa91535c7a1859d3b624964450f25222f7437f0a987fa4679,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,ca2cb403ac74e1f1c605260f58da94680b8b212dbe978534eec05cb2d777ed22,True,[],False,False,exclusive_create_only_future_contract,False,True
25,co2,p020_T20_800ppm_fit_retry1,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g8f_T20_800_direct_240purge_finalparams\p020_T20_800ppm_fit_retry1,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g8f_T20_800_direct_240purge_finalparams\p020_T20_800ppm_fit_retry1\formal_open_flow_data_quality_by_analyzer.csv,5,cb5afff2a5cad9cfa16cf674ed36ea2ad66aba3441ef8608d1809c18bac867a3,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,ff033af095811d7d50f8be629c9385a78aebe3bb0d042f943e8e86fc404e4b5d,True,[],False,False,exclusive_create_only_future_contract,False,True
26,co2,p021_T20_900ppm_fit_retry1,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g8g_T20_900_direct_240purge_finalparams\p021_T20_900ppm_fit_retry1,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g8g_T20_900_direct_240purge_finalparams\p021_T20_900ppm_fit_retry1\formal_open_flow_data_quality_by_analyzer.csv,5,06566cb69029d972bcdf8bfc86357b3f3f2064e30db37fddffd5b8f82537973c,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,b59caad278941c90569fb43a899a202b2b64a9b8a755974292ebd1df63e10d21,True,[],False,False,exclusive_create_only_future_contract,False,True
27,co2,p022_T20_1000ppm_fit_retry1,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g8h_T20_1000_direct_240purge_finalparams\p022_T20_1000ppm_fit_retry1,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g8h_T20_1000_direct_240purge_finalparams\p022_T20_1000ppm_fit_retry1\formal_open_flow_data_quality_by_analyzer.csv,5,c7997932d5bf419449bff1186a87dbd7b2e380cee0c8471b76b0e5752fba4078,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,ad6a209d0ccc4ba3f61913c5c2fce6bc010fbbf4bce0a3f83d4c0c8fbd2a379e,True,[],False,False,exclusive_create_only_future_contract,False,True
28,co2,p001_T10_0ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams\p001_T10_0ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams\p001_T10_0ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,5,15d1e8e7757b8cec73a54eb2db118197b086c37fac795d342d8223cfb171cf33,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,bf0b649c10c10a089eeeb4699ff5b8fdb0b954ab1379680c76a2bde7e15d56da,True,[],False,False,exclusive_create_only_future_contract,False,True
29,co2,p002_T10_100ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams\p002_T10_100ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams\p002_T10_100ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,5,d406b46d485fb4ff210043a58281efbcfa0b0f458110d0dc016e2492f120df21,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,574aa4cd612b65a6100630608a9a2bf8f11df517867782e5974931a781b70d92,True,[],False,False,exclusive_create_only_future_contract,False,True
30,co2,p003_T10_200ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams\p003_T10_200ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams\p003_T10_200ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,5,efe721d814a3aa18037c920a8fc24f2db909c34460b4487d6f837eb9ba6f0122,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,856fbac6101cd675d01148e9b383563de9f10aef278e89b8e943d88a54c3e2b9,True,[],False,False,exclusive_create_only_future_contract,False,True
31,co2,p004_T10_300ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams\p004_T10_300ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams\p004_T10_300ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,5,131fc2426b8a0b782b3f2659fbebe110e64301e5990c695acc7e8d269d7aca2c,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,0a84351c88478b4a91191be4e930d11c5fef487f99ed8bc9fa363848cc02f4a0,True,[],False,False,exclusive_create_only_future_contract,False,True
32,co2,p005_T10_400ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams\p005_T10_400ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams\p005_T10_400ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,5,925c67c30f4d0a8066f770ac6b28f3964ea0912c0e24cd3d808004e2752dffc1,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,7fc4a6bb7a4aea373c6d96881fbaeda5f8de624315ae9224766d04930de262bc,True,[],False,False,exclusive_create_only_future_contract,False,True
33,co2,p006_T10_500ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams\p006_T10_500ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams\p006_T10_500ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,5,e61543b58ad288aef92f9286949bbd8686460fdc55abb6f3bc019b6a701aafa4,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,25c80123f641fbfd3fd0e59ded89bc26d06f7f01a03796ac74e0add080a5de06,True,[],False,False,exclusive_create_only_future_contract,False,True
34,co2,p007_T10_600ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams\p007_T10_600ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams\p007_T10_600ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,5,82629992e1f39b2fe5fd4a1493c1c4aa3083c9c23e8a92b6f959557e6f7bd123,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,8498677e881e803fea2ce73ce9126558d56073842878e99b53b8594a88dc8e99,True,[],False,False,exclusive_create_only_future_contract,False,True
35,co2,p008_T10_700ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams\p008_T10_700ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams\p008_T10_700ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,5,180633f61613fafbbb1e5b92041896d9f38e07cb7a3710a11c1c7d00780ffa62,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,1a3c81633612ed52923249de93bdf8068b2544b7988237e48b1b766ab506ae9c,True,[],False,False,exclusive_create_only_future_contract,False,True
36,co2,p009_T10_800ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams\p009_T10_800ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams\p009_T10_800ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,5,2391ca4b6263a78f8d521640e44c8c60f692d6c5ba91d73bb4a6fb190fa63dac,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,372b1220eb872c65e3a6f7be33e7d2a92531bcbf56e83e884bf0a2bdd6e01ccd,True,[],False,False,exclusive_create_only_future_contract,False,True
