canonical_index,temp_c,co2_ppm,run_name,point_name,point_dir,source_kind,candidate_status,route_opened,sampling_before_route_close,analyzer_rows,min_total_frames,min_valid_frames,min_valid_ratio,warning,route_opened_at,sample_window_started_at,sample_window_ended_at,route_closed_at,acceptance_status,alternate_candidate_count,manifest_path,manifest_sha256,manifest_missing,point_dir_exists,diagnostic_composite_only,continuous_route_attestation_allowed,formal_fit_allowed,formal_release_allowed,database_import_allowed
11,30,700,co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams,p008_T30_700ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p008_T30_700ppm_fit,queue_child,candidate_valid_by_physical_and_frame_gates,True,True,6,10,10,1.0,,2026-07-05T16:20:34.296,2026-07-05T16:33:58.126,2026-07-05T16:34:16.634,2026-07-05T16:34:17.780,accepted,0,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_acceptance_manifest_20260706\accepted_co2_45_point_manifest.csv,d5a973766315abbbd8859f8069d179aaed6e2820382c51d786008122b0565b5f,False,True,True,False,False,False,False
12,30,800,co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams,p009_T30_800ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p009_T30_800ppm_fit,queue_child,candidate_valid_by_physical_and_frame_gates,True,True,6,10,10,1.0,,2026-07-05T16:35:27.744,2026-07-05T16:48:54.126,2026-07-05T16:49:13.816,2026-07-05T16:49:14.550,accepted,0,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_acceptance_manifest_20260706\accepted_co2_45_point_manifest.csv,d5a973766315abbbd8859f8069d179aaed6e2820382c51d786008122b0565b5f,False,True,True,False,False,False,False
13,30,900,co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams,p010_T30_900ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p010_T30_900ppm_fit,queue_child,candidate_valid_by_physical_and_frame_gates,True,True,6,10,10,1.0,,2026-07-05T16:50:27.030,2026-07-05T17:04:59.236,2026-07-05T17:05:19.354,2026-07-05T17:05:20.287,accepted,0,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_acceptance_manifest_20260706\accepted_co2_45_point_manifest.csv,d5a973766315abbbd8859f8069d179aaed6e2820382c51d786008122b0565b5f,False,True,True,False,False,False,False
14,30,1000,co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams,p011_T30_1000ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p011_T30_1000ppm_fit,queue_child,candidate_valid_by_physical_and_frame_gates,True,True,6,10,10,1.0,,2026-07-05T17:06:31.879,2026-07-05T17:16:50.961,2026-07-05T17:17:08.227,2026-07-05T17:17:08.935,accepted,0,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_acceptance_manifest_20260706\accepted_co2_45_point_manifest.csv,d5a973766315abbbd8859f8069d179aaed6e2820382c51d786008122b0565b5f,False,True,True,False,False,False,False
15,20,0,co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams,p012_T20_0ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p012_T20_0ppm_fit,queue_child,candidate_valid_by_physical_and_frame_gates,True,True,6,10,10,1.0,,2026-07-05T18:11:34.714,2026-07-05T18:19:19.378,2026-07-05T18:19:40.740,2026-07-05T18:19:41.647,accepted,0,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_acceptance_manifest_20260706\accepted_co2_45_point_manifest.csv,d5a973766315abbbd8859f8069d179aaed6e2820382c51d786008122b0565b5f,False,True,True,False,False,False,False
16,20,100,co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams,p013_T20_100ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p013_T20_100ppm_fit,queue_child,candidate_valid_by_physical_and_frame_gates,True,True,6,10,10,1.0,,2026-07-05T18:20:54.792,2026-07-05T18:26:35.829,2026-07-05T18:26:54.032,2026-07-05T18:26:54.587,accepted,0,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_acceptance_manifest_20260706\accepted_co2_45_point_manifest.csv,d5a973766315abbbd8859f8069d179aaed6e2820382c51d786008122b0565b5f,False,True,True,False,False,False,False
17,20,200,co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams,p014_T20_200ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p014_T20_200ppm_fit,queue_child,candidate_valid_by_physical_and_frame_gates,True,True,6,10,10,1.0,,2026-07-05T18:28:03.239,2026-07-05T18:33:45.495,2026-07-05T18:34:03.197,2026-07-05T18:34:04.218,accepted,0,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_acceptance_manifest_20260706\accepted_co2_45_point_manifest.csv,d5a973766315abbbd8859f8069d179aaed6e2820382c51d786008122b0565b5f,False,True,True,False,False,False,False
18,20,300,co2_6old_0620clean_mature45_g5_T20_300_retry_finalparams,p015_T20_300ppm_fit_retry1,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g5_T20_300_retry_finalparams\p015_T20_300ppm_fit_retry1,retry_or_direct_recovery,candidate_valid_by_physical_and_frame_gates,True,True,6,10,10,1.0,,2026-07-05T18:46:22.581,2026-07-05T18:53:41.704,2026-07-05T18:54:00.701,2026-07-05T18:54:02.801,accepted,0,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_acceptance_manifest_20260706\accepted_co2_45_point_manifest.csv,d5a973766315abbbd8859f8069d179aaed6e2820382c51d786008122b0565b5f,False,True,True,False,False,False,False
19,20,400,co2_6old_0620clean_mature45_g7_T20_400_retry_finalparams,p016_T20_400ppm_fit_retry1,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g7_T20_400_retry_finalparams\p016_T20_400ppm_fit_retry1,retry_or_direct_recovery,candidate_valid_by_physical_and_frame_gates,True,True,6,10,10,1.0,,2026-07-05T19:03:05.925,2026-07-05T19:08:48.204,2026-07-05T19:09:09.422,2026-07-05T19:09:10.801,accepted,1,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_acceptance_manifest_20260706\accepted_co2_45_point_manifest.csv,d5a973766315abbbd8859f8069d179aaed6e2820382c51d786008122b0565b5f,False,True,True,False,False,False,False
20,20,500,co2_6old_0620clean_mature45_g8c_T20_500_direct_240purge_finalparams,p017_T20_500ppm_fit_retry1,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g8c_T20_500_direct_240purge_finalparams\p017_T20_500ppm_fit_retry1,retry_or_direct_recovery,candidate_valid_by_physical_and_frame_gates,True,True,6,10,10,1.0,,2026-07-05T19:15:00.450,2026-07-05T19:22:36.500,2026-07-05T19:22:54.995,2026-07-05T19:22:55.891,accepted,0,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_acceptance_manifest_20260706\accepted_co2_45_point_manifest.csv,d5a973766315abbbd8859f8069d179aaed6e2820382c51d786008122b0565b5f,False,True,True,False,False,False,False
21,20,600,co2_6old_0620clean_mature45_g8d_T20_600_direct_240purge_finalparams,p018_T20_600ppm_fit_retry1,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g8d_T20_600_direct_240purge_finalparams\p018_T20_600ppm_fit_retry1,retry_or_direct_recovery,candidate_valid_by_physical_and_frame_gates,True,True,6,10,10,1.0,,2026-07-05T19:25:36.611,2026-07-05T19:31:20.544,2026-07-05T19:31:38.613,2026-07-05T19:31:39.922,accepted,0,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_acceptance_manifest_20260706\accepted_co2_45_point_manifest.csv,d5a973766315abbbd8859f8069d179aaed6e2820382c51d786008122b0565b5f,False,True,True,False,False,False,False
22,20,700,co2_6old_0620clean_mature45_g8e_T20_700_direct_240purge_finalparams,p019_T20_700ppm_fit_retry1,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g8e_T20_700_direct_240purge_finalparams\p019_T20_700ppm_fit_retry1,retry_or_direct_recovery,candidate_valid_by_physical_and_frame_gates,True,True,6,10,10,1.0,,2026-07-05T19:34:23.397,2026-07-05T19:42:03.538,2026-07-05T19:42:21.631,2026-07-05T19:42:22.991,accepted,0,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_acceptance_manifest_20260706\accepted_co2_45_point_manifest.csv,d5a973766315abbbd8859f8069d179aaed6e2820382c51d786008122b0565b5f,False,True,True,False,False,False,False
23,20,800,co2_6old_0620clean_mature45_g8f_T20_800_direct_240purge_finalparams,p020_T20_800ppm_fit_retry1,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g8f_T20_800_direct_240purge_finalparams\p020_T20_800ppm_fit_retry1,retry_or_direct_recovery,candidate_valid_by_physical_and_frame_gates,True,True,6,10,10,1.0,,2026-07-05T19:44:47.643,2026-07-05T19:56:24.963,2026-07-05T19:56:43.202,2026-07-05T19:56:43.977,accepted,0,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_acceptance_manifest_20260706\accepted_co2_45_point_manifest.csv,d5a973766315abbbd8859f8069d179aaed6e2820382c51d786008122b0565b5f,False,True,True,False,False,False,False
24,20,900,co2_6old_0620clean_mature45_g8g_T20_900_direct_240purge_finalparams,p021_T20_900ppm_fit_retry1,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g8g_T20_900_direct_240purge_finalparams\p021_T20_900ppm_fit_retry1,retry_or_direct_recovery,candidate_valid_by_physical_and_frame_gates,True,True,6,10,10,1.0,,2026-07-05T20:00:03.294,2026-07-05T20:10:58.700,2026-07-05T20:11:17.911,2026-07-05T20:11:18.698,accepted,0,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_acceptance_manifest_20260706\accepted_co2_45_point_manifest.csv,d5a973766315abbbd8859f8069d179aaed6e2820382c51d786008122b0565b5f,False,True,True,False,False,False,False
25,20,1000,co2_6old_0620clean_mature45_g8h_T20_1000_direct_240purge_finalparams,p022_T20_1000ppm_fit_retry1,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g8h_T20_1000_direct_240purge_finalparams\p022_T20_1000ppm_fit_retry1,retry_or_direct_recovery,candidate_valid_by_physical_and_frame_gates,True,True,6,10,10,1.0,,2026-07-05T20:17:02.051,2026-07-05T20:27:03.419,2026-07-05T20:27:21.765,2026-07-05T20:27:22.395,accepted,0,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_acceptance_manifest_20260706\accepted_co2_45_point_manifest.csv,d5a973766315abbbd8859f8069d179aaed6e2820382c51d786008122b0565b5f,False,True,True,False,False,False,False
26,10,0,co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams,p001_T10_0ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams\p001_T10_0ppm_fit,queue_child,candidate_valid_by_physical_and_frame_gates,True,True,6,10,10,1.0,,2026-07-05T21:22:46.219,2026-07-05T21:30:31.771,2026-07-05T21:30:50.792,2026-07-05T21:30:51.560,accepted,0,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_acceptance_manifest_20260706\accepted_co2_45_point_manifest.csv,d5a973766315abbbd8859f8069d179aaed6e2820382c51d786008122b0565b5f,False,True,True,False,False,False,False
27,10,100,co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams,p002_T10_100ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams\p002_T10_100ppm_fit,queue_child,candidate_valid_by_physical_and_frame_gates,True,True,6,10,10,1.0,,2026-07-05T21:32:00.806,2026-07-05T21:37:41.345,2026-07-05T21:37:58.464,2026-07-05T21:38:00.159,accepted,0,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_acceptance_manifest_20260706\accepted_co2_45_point_manifest.csv,d5a973766315abbbd8859f8069d179aaed6e2820382c51d786008122b0565b5f,False,True,True,False,False,False,False
28,10,200,co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams,p003_T10_200ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams\p003_T10_200ppm_fit,queue_child,candidate_valid_by_physical_and_frame_gates,True,True,6,10,10,1.0,,2026-07-05T21:39:10.565,2026-07-05T21:44:51.759,2026-07-05T21:45:10.592,2026-07-05T21:45:11.410,accepted,0,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_acceptance_manifest_20260706\accepted_co2_45_point_manifest.csv,d5a973766315abbbd8859f8069d179aaed6e2820382c51d786008122b0565b5f,False,True,True,False,False,False,False
29,10,300,co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams,p004_T10_300ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams\p004_T10_300ppm_fit,queue_child,candidate_valid_by_physical_and_frame_gates,True,True,6,10,10,1.0,,2026-07-05T21:46:21.771,2026-07-05T21:53:30.817,2026-07-05T21:53:48.286,2026-07-05T21:53:49.101,accepted,0,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_acceptance_manifest_20260706\accepted_co2_45_point_manifest.csv,d5a973766315abbbd8859f8069d179aaed6e2820382c51d786008122b0565b5f,False,True,True,False,False,False,False
30,10,400,co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams,p005_T10_400ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams\p005_T10_400ppm_fit,queue_child,candidate_valid_by_physical_and_frame_gates,True,True,6,10,10,1.0,,2026-07-05T21:54:59.885,2026-07-05T22:00:45.913,2026-07-05T22:01:03.178,2026-07-05T22:01:04.010,accepted,0,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_acceptance_manifest_20260706\accepted_co2_45_point_manifest.csv,d5a973766315abbbd8859f8069d179aaed6e2820382c51d786008122b0565b5f,False,True,True,False,False,False,False
31,10,500,co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams,p006_T10_500ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams\p006_T10_500ppm_fit,queue_child,candidate_valid_by_physical_and_frame_gates,True,True,6,10,10,1.0,,2026-07-05T22:02:14.751,2026-07-05T22:08:19.316,2026-07-05T22:08:35.456,2026-07-05T22:08:36.102,accepted,0,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_acceptance_manifest_20260706\accepted_co2_45_point_manifest.csv,d5a973766315abbbd8859f8069d179aaed6e2820382c51d786008122b0565b5f,False,True,True,False,False,False,False
32,10,600,co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams,p007_T10_600ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams\p007_T10_600ppm_fit,queue_child,candidate_valid_by_physical_and_frame_gates,True,True,6,10,10,1.0,,2026-07-05T22:09:38.842,2026-07-05T22:15:26.816,2026-07-05T22:15:43.445,2026-07-05T22:15:45.608,accepted,0,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_acceptance_manifest_20260706\accepted_co2_45_point_manifest.csv,d5a973766315abbbd8859f8069d179aaed6e2820382c51d786008122b0565b5f,False,True,True,False,False,False,False
33,10,700,co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams,p008_T10_700ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams\p008_T10_700ppm_fit,queue_child,candidate_valid_by_physical_and_frame_gates,True,True,6,10,10,1.0,,2026-07-05T22:16:52.157,2026-07-05T22:23:14.573,2026-07-05T22:23:32.640,2026-07-05T22:23:33.314,accepted,0,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_acceptance_manifest_20260706\accepted_co2_45_point_manifest.csv,d5a973766315abbbd8859f8069d179aaed6e2820382c51d786008122b0565b5f,False,True,True,False,False,False,False
34,10,800,co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams,p009_T10_800ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams\p009_T10_800ppm_fit,queue_child,candidate_valid_by_physical_and_frame_gates,True,True,6,10,10,1.0,,2026-07-05T22:24:40.313,2026-07-05T22:34:36.809,2026-07-05T22:34:55.766,2026-07-05T22:34:56.358,accepted,0,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_acceptance_manifest_20260706\accepted_co2_45_point_manifest.csv,d5a973766315abbbd8859f8069d179aaed6e2820382c51d786008122b0565b5f,False,True,True,False,False,False,False
35,10,900,co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams,p010_T10_900ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams\p010_T10_900ppm_fit,queue_child,candidate_valid_by_physical_and_frame_gates,True,True,6,10,10,1.0,,2026-07-05T22:36:06.676,2026-07-05T22:45:21.518,2026-07-05T22:45:39.845,2026-07-05T22:45:40.440,accepted,0,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_acceptance_manifest_20260706\accepted_co2_45_point_manifest.csv,d5a973766315abbbd8859f8069d179aaed6e2820382c51d786008122b0565b5f,False,True,True,False,False,False,False
36,10,1000,co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams,p011_T10_1000ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams\p011_T10_1000ppm_fit,queue_child,candidate_valid_by_physical_and_frame_gates,True,True,6,10,10,1.0,,2026-07-05T22:46:52.745,2026-07-05T22:55:25.437,2026-07-05T22:55:42.046,2026-07-05T22:55:42.682,accepted,0,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_acceptance_manifest_20260706\accepted_co2_45_point_manifest.csv,d5a973766315abbbd8859f8069d179aaed6e2820382c51d786008122b0565b5f,False,True,True,False,False,False,False
37,0,0,co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams,p012_T0_0ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams\p012_T0_0ppm_fit,queue_child,candidate_valid_by_physical_and_frame_gates,True,True,6,10,10,1.0,,2026-07-05T23:41:45.581,2026-07-05T23:49:29.091,2026-07-05T23:49:45.761,2026-07-05T23:49:46.531,accepted,0,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_acceptance_manifest_20260706\accepted_co2_45_point_manifest.csv,d5a973766315abbbd8859f8069d179aaed6e2820382c51d786008122b0565b5f,False,True,True,False,False,False,False
38,0,400,co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams,p013_T0_400ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams\p013_T0_400ppm_fit,queue_child,candidate_valid_by_physical_and_frame_gates,True,True,6,10,10,1.0,,2026-07-05T23:50:54.550,2026-07-05T23:56:35.581,2026-07-05T23:56:52.714,2026-07-05T23:56:53.414,accepted,0,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_acceptance_manifest_20260706\accepted_co2_45_point_manifest.csv,d5a973766315abbbd8859f8069d179aaed6e2820382c51d786008122b0565b5f,False,True,True,False,False,False,False
39,0,1000,co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams,p014_T0_1000ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams\p014_T0_1000ppm_fit,queue_child,candidate_valid_by_physical_and_frame_gates,True,True,6,10,10,1.0,,2026-07-05T23:58:03.898,2026-07-06T00:03:49.853,2026-07-06T00:04:07.508,2026-07-06T00:04:08.236,accepted,0,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_acceptance_manifest_20260706\accepted_co2_45_point_manifest.csv,d5a973766315abbbd8859f8069d179aaed6e2820382c51d786008122b0565b5f,False,True,True,False,False,False,False
