point_name,route_kind,root_classification,lineage_classification,artifact_path,artifact_sha256,artifact_sha256_matches,schema_has_required_fields,grades,ratio_tols,ratio_a_tols,is_mature_threshold_authority
p014_T30_1000ppm_fit,co2,forbidden_0624_or_migration,forbidden_0624_or_migration,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p014_T30_1000ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,c4f8a74e8063a292b2bb4fada4cbc84afc6706478d6ac418450d1da543caacc4,True,True,"{""A_calibration_eligible"": 3, ""B_diagnostic_model_only"": 2, ""C_reject"": 1}",[0.001],[0.0005],False
p015_T20_0ppm_fit,co2,forbidden_0624_or_migration,forbidden_0624_or_migration,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p015_T20_0ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,9fb6bfb02f3330d135eba06a8b4cf6395caf355fe65d90c70ae1d15d0ee20265,True,True,"{""A_calibration_eligible"": 1, ""B_diagnostic_model_only"": 3, ""C_reject"": 2}",[0.001],[0.0005],False
p016_T20_100ppm_fit,co2,forbidden_0624_or_migration,forbidden_0624_or_migration,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p016_T20_100ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,996bc387998518081b4abe773a49ab3654d43916200dab093c6512e19734d337,True,True,"{""A_calibration_eligible"": 2, ""B_diagnostic_model_only"": 3, ""C_reject"": 1}",[0.001],[0.0005],False
p017_T20_200ppm_fit,co2,forbidden_0624_or_migration,forbidden_0624_or_migration,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p017_T20_200ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,bfc49a806e3d3d42b7e77d367d5dbffa36e8916b5dd1d900696757f77b722296,True,True,"{""A_calibration_eligible"": 2, ""B_diagnostic_model_only"": 3, ""C_reject"": 1}",[0.001],[0.0005],False
p018_T20_300ppm_fit,co2,forbidden_0624_or_migration,forbidden_0624_or_migration,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p018_T20_300ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,69c9c5be13153d52c527f98d4fea759055f037215282cf91336e250797fa5350,True,True,"{""A_calibration_eligible"": 1, ""C_reject"": 5}",[0.001],[0.0005],False
p019_T20_400ppm_fit,co2,forbidden_0624_or_migration,forbidden_0624_or_migration,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p019_T20_400ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,165e87fcbab9250488dfd39fc2a6cb9b86aadd2218a99143ca6aa5b745282686,True,True,"{""A_calibration_eligible"": 2, ""B_diagnostic_model_only"": 2, ""C_reject"": 2}",[0.001],[0.0005],False
p020_T20_500ppm_fit,co2,forbidden_0624_or_migration,forbidden_0624_or_migration,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p020_T20_500ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,ef1fecf5d77566c44edc435013f86950a257876eed90c0927ebd838b0bd6ee97,True,True,"{""A_calibration_eligible"": 3, ""B_diagnostic_model_only"": 2, ""C_reject"": 1}",[0.001],[0.0005],False
p021_T20_600ppm_fit,co2,forbidden_0624_or_migration,forbidden_0624_or_migration,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p021_T20_600ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,a3ff04b59f542d12a09179896cbc8918760748d20b6f081be9177d6c9fd7d2ed,True,True,"{""A_calibration_eligible"": 1, ""B_diagnostic_model_only"": 4, ""C_reject"": 1}",[0.001],[0.0005],False
p022_T20_700ppm_fit,co2,forbidden_0624_or_migration,forbidden_0624_or_migration,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p022_T20_700ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,3a2c66cad7cdb83b63422c9aa442456ef4f03deb7152f9e3946a604bbe6da47f,True,True,"{""A_calibration_eligible"": 3, ""B_diagnostic_model_only"": 1, ""C_reject"": 2}",[0.001],[0.0005],False
p023_T20_800ppm_fit,co2,forbidden_0624_or_migration,forbidden_0624_or_migration,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p023_T20_800ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,5892f34e991c9326ff835ef2b35784cbb78dbc7c03211e9915330070c334ec9c,True,True,"{""A_calibration_eligible"": 2, ""B_diagnostic_model_only"": 3, ""C_reject"": 1}",[0.001],[0.0005],False
p024_T20_900ppm_fit,co2,forbidden_0624_or_migration,forbidden_0624_or_migration,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p024_T20_900ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,56c1ca3cca2a920780a814c194c177f2568a13a98c8a4b52a234309aca9a555a,True,True,"{""A_calibration_eligible"": 3, ""B_diagnostic_model_only"": 1, ""C_reject"": 2}",[0.001],[0.0005],False
p025_T20_1000ppm_fit,co2,forbidden_0624_or_migration,forbidden_0624_or_migration,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p025_T20_1000ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,a8285b2ecba2ed1299c9873cab61f685b4aead4dc92b938e5fe0f013c5e71f82,True,True,"{""A_calibration_eligible"": 2, ""B_diagnostic_model_only"": 3, ""C_reject"": 1}",[0.001],[0.0005],False
p026_T10_0ppm_fit,co2,forbidden_0624_or_migration,forbidden_0624_or_migration,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p026_T10_0ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,6c4d4849d2d5c63cbd504ad8da4da3c43bfed655c75ac82db1a72ffe953ea1a6,True,True,"{""A_calibration_eligible"": 1, ""B_diagnostic_model_only"": 5}",[0.001],[0.0005],False
p027_T10_100ppm_fit,co2,forbidden_0624_or_migration,forbidden_0624_or_migration,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p027_T10_100ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,6e010d660e06ab00b3109a4875695d746a8fd7a6227d1ab6710e3ab7da85827c,True,True,"{""A_calibration_eligible"": 2, ""B_diagnostic_model_only"": 1, ""C_reject"": 3}",[0.001],[0.0005],False
p028_T10_200ppm_fit,co2,forbidden_0624_or_migration,forbidden_0624_or_migration,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p028_T10_200ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,e970d0a3d9345854e38b41d454cf38077922cddee78d9c21a6a2d3de64c5b1da,True,True,"{""A_calibration_eligible"": 2, ""B_diagnostic_model_only"": 2, ""C_reject"": 2}",[0.001],[0.0005],False
p029_T10_300ppm_fit,co2,forbidden_0624_or_migration,forbidden_0624_or_migration,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p029_T10_300ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,bfc8c7d56b8b6833705106dfc3d06c0fc59b633b838ef877facfb1e226033250,True,True,"{""A_calibration_eligible"": 1, ""B_diagnostic_model_only"": 4, ""C_reject"": 1}",[0.001],[0.0005],False
p030_T10_400ppm_fit,co2,forbidden_0624_or_migration,forbidden_0624_or_migration,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p030_T10_400ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,86a65f7d62a4bae6f67938e571a175279a568eb47ab3d21dfc1bc924d84e4db0,True,True,"{""A_calibration_eligible"": 3, ""B_diagnostic_model_only"": 1, ""C_reject"": 2}",[0.001],[0.0005],False
p031_T10_500ppm_fit,co2,forbidden_0624_or_migration,forbidden_0624_or_migration,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p031_T10_500ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,ebace04986731cc53ca9faa6549efb331fe2b0245f1a879843f91f1b7493f1bd,True,True,"{""A_calibration_eligible"": 3, ""B_diagnostic_model_only"": 2, ""C_reject"": 1}",[0.001],[0.0005],False
p032_T10_600ppm_fit,co2,forbidden_0624_or_migration,forbidden_0624_or_migration,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p032_T10_600ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,4d29d3cbc63750ae21a9b6585eb64714d299564b99f684218ef7dfb3a46a22c0,True,True,"{""A_calibration_eligible"": 2, ""B_diagnostic_model_only"": 3, ""C_reject"": 1}",[0.001],[0.0005],False
p033_T10_700ppm_fit,co2,forbidden_0624_or_migration,forbidden_0624_or_migration,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p033_T10_700ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,6a699bb7efa7cca04f6ea9019037df852a95a579be5f0c6c144a97579b0b2e3e,True,True,"{""A_calibration_eligible"": 2, ""B_diagnostic_model_only"": 2, ""C_reject"": 2}",[0.001],[0.0005],False
p034_T10_800ppm_fit,co2,forbidden_0624_or_migration,forbidden_0624_or_migration,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p034_T10_800ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,ef64bdc824799a04ac950f34003693509341cdda129c98129506ed10606bd08d,True,True,"{""A_calibration_eligible"": 3, ""B_diagnostic_model_only"": 2, ""C_reject"": 1}",[0.001],[0.0005],False
p035_T10_900ppm_fit,co2,forbidden_0624_or_migration,forbidden_0624_or_migration,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p035_T10_900ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,e6a912e09b9e2169e6cc64b329965807052b43466dc0ab7dd2e6812047089e8b,True,True,"{""A_calibration_eligible"": 1, ""C_reject"": 5}",[0.001],[0.0005],False
p036_T10_1000ppm_fit,co2,forbidden_0624_or_migration,forbidden_0624_or_migration,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p036_T10_1000ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,ad978adf912d412d357409283c2bd28ac30536be62a2d338f6e1406b10bd3a09,True,True,"{""A_calibration_eligible"": 3, ""B_diagnostic_model_only"": 1, ""C_reject"": 2}",[0.001],[0.0005],False
p037_T0_0ppm_fit,co2,forbidden_0624_or_migration,forbidden_0624_or_migration,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p037_T0_0ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,fa4ccc247dc5d3e0fe843d7a2d9391528c505a957b9461f5ea2d4e1f8ea6e235,True,True,"{""A_calibration_eligible"": 2, ""B_diagnostic_model_only"": 2, ""C_reject"": 2}",[0.001],[0.0005],False
p038_T0_400ppm_fit,co2,forbidden_0624_or_migration,forbidden_0624_or_migration,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p038_T0_400ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,8f283972a8006f88ecd7acd994dec8a222f6cb8768978278a6b46807a04a3925,True,True,"{""A_calibration_eligible"": 2, ""B_diagnostic_model_only"": 4}",[0.001],[0.0005],False
p039_T0_1000ppm_fit,co2,forbidden_0624_or_migration,forbidden_0624_or_migration,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p039_T0_1000ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,c8a5e569dbd43d4cd864846358e1f801c78d5d21c75bf731748b3e19d61cf555,True,True,"{""A_calibration_eligible"": 3, ""B_diagnostic_model_only"": 3}",[0.001],[0.0005],False
p042_Tm10_1000ppm_fit,co2,forbidden_0624_or_migration,forbidden_0624_or_migration,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p042_Tm10_1000ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,0c1f741aa03f31e48e731d0852ff9a211c5c74f5217cd53b77b3ecb728e61997,True,True,"{""A_calibration_eligible"": 1, ""C_reject"": 5}",[0.001],[0.0005],False
p043_Tm20_0ppm_fit,co2,forbidden_0624_or_migration,forbidden_0624_or_migration,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p043_Tm20_0ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,e3d1d9d82ab4ca27b1b81904ffb00d97f05a2e4711f05c9d536a0d49a76cd99b,True,True,"{""A_calibration_eligible"": 3, ""B_diagnostic_model_only"": 2, ""C_reject"": 1}",[0.001],[0.0005],False
p044_Tm20_400ppm_fit,co2,forbidden_0624_or_migration,forbidden_0624_or_migration,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p044_Tm20_400ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,6a0bb2cc717c242bf27930671b76dafca7bb7bee3423aa741363c886f13b600e,True,True,"{""A_calibration_eligible"": 4, ""B_diagnostic_model_only"": 1, ""C_reject"": 1}",[0.001],[0.0005],False
p045_Tm20_1000ppm_fit,co2,forbidden_0624_or_migration,forbidden_0624_or_migration,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p045_Tm20_1000ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,f667abd8e85fcfbe915012675ea33b86c1506c13dbc5733b74b1bb265f669bed,True,True,"{""A_calibration_eligible"": 3, ""B_diagnostic_model_only"": 3}",[0.001],[0.0005],False
