point_dir,route_kind,artifact_role,artifact_path,expected_size_bytes,actual_size_bytes,expected_sha256,actual_sha256,integrity_status
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p002_T40_400ppm_fit,co2,runtime_config_snapshot.json,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p002_T40_400ppm_fit\runtime_config_snapshot.json,50343,50343,afdf7fa4ab01fe68bdc4c20a29b48eddc668ba3ebb7bb80935d699387c3a3000,afdf7fa4ab01fe68bdc4c20a29b48eddc668ba3ebb7bb80935d699387c3a3000,match
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p002_T40_400ppm_fit,co2,samples_machine_readable.csv,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p002_T40_400ppm_fit\samples_machine_readable.csv,49901,49901,5ac9275d7fa6860daefb18065d33fd13a51c8b501f787907348462b52c344a48,5ac9275d7fa6860daefb18065d33fd13a51c8b501f787907348462b52c344a48,match
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p003_T40_1000ppm_fit,co2,formal_open_flow_data_quality_by_analyzer.csv,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p003_T40_1000ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,891,891,498a624c39035b0348848339642360a7ce2b2f3fa9917418fa4686863d4fbe5b,498a624c39035b0348848339642360a7ce2b2f3fa9917418fa4686863d4fbe5b,match
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p003_T40_1000ppm_fit,co2,formal_open_flow_route_timing.json,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p003_T40_1000ppm_fit\formal_open_flow_route_timing.json,572,572,3245347b7e05496a7250cc969b5fd4eddd79accd17acd08b8c7f6cc6b1b53838,3245347b7e05496a7250cc969b5fd4eddd79accd17acd08b8c7f6cc6b1b53838,match
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p003_T40_1000ppm_fit,co2,formal_open_flow_sidecar_metadata.json,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p003_T40_1000ppm_fit\formal_open_flow_sidecar_metadata.json,1206,1206,bc2b03ea08e4aee88a92da187a24c7085334d2c7dde3f6bbc59e73418fb1cff4,bc2b03ea08e4aee88a92da187a24c7085334d2c7dde3f6bbc59e73418fb1cff4,match
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p003_T40_1000ppm_fit,co2,frame_quality_summary.csv,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p003_T40_1000ppm_fit\frame_quality_summary.csv,502,502,9b787f6de917d3508b8511e9eea38419ab6224df08d7772b531f1bd9ad36227c,9b787f6de917d3508b8511e9eea38419ab6224df08d7772b531f1bd9ad36227c,match
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p003_T40_1000ppm_fit,co2,runtime_config_snapshot.json,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p003_T40_1000ppm_fit\runtime_config_snapshot.json,50343,50343,afdf7fa4ab01fe68bdc4c20a29b48eddc668ba3ebb7bb80935d699387c3a3000,afdf7fa4ab01fe68bdc4c20a29b48eddc668ba3ebb7bb80935d699387c3a3000,match
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p003_T40_1000ppm_fit,co2,samples_machine_readable.csv,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p003_T40_1000ppm_fit\samples_machine_readable.csv,50010,50010,b4098a72382c00f25b2689df09a385169d190ae2a261ab9f9a39d5eeb0187d5a,b4098a72382c00f25b2689df09a385169d190ae2a261ab9f9a39d5eeb0187d5a,match
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p004_T30_0ppm_fit,co2,formal_open_flow_data_quality_by_analyzer.csv,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p004_T30_0ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,815,815,2b0c9992f2d03ccef194fe047bbac15aa9f84aa507725f72d59c213fa47876eb,2b0c9992f2d03ccef194fe047bbac15aa9f84aa507725f72d59c213fa47876eb,match
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p004_T30_0ppm_fit,co2,formal_open_flow_route_timing.json,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p004_T30_0ppm_fit\formal_open_flow_route_timing.json,566,566,b3f0a7f7216b0bb327c89edabba0112dae0f53e4f7e066bef4bb71bef8b1c41f,b3f0a7f7216b0bb327c89edabba0112dae0f53e4f7e066bef4bb71bef8b1c41f,match
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p004_T30_0ppm_fit,co2,formal_open_flow_sidecar_metadata.json,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p004_T30_0ppm_fit\formal_open_flow_sidecar_metadata.json,1200,1200,6fb1a3a92f1a482ad8060e4f0c5993e32fc437bcb27a8122e397a3eea9ca5cf4,6fb1a3a92f1a482ad8060e4f0c5993e32fc437bcb27a8122e397a3eea9ca5cf4,match
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p004_T30_0ppm_fit,co2,frame_quality_summary.csv,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p004_T30_0ppm_fit\frame_quality_summary.csv,484,484,06554fea1aa002e0b9f84768a6cd2d4d99ddc773167bb5fe5d564d5117fc85fd,06554fea1aa002e0b9f84768a6cd2d4d99ddc773167bb5fe5d564d5117fc85fd,match
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p004_T30_0ppm_fit,co2,runtime_config_snapshot.json,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p004_T30_0ppm_fit\runtime_config_snapshot.json,50343,50343,afdf7fa4ab01fe68bdc4c20a29b48eddc668ba3ebb7bb80935d699387c3a3000,afdf7fa4ab01fe68bdc4c20a29b48eddc668ba3ebb7bb80935d699387c3a3000,match
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p004_T30_0ppm_fit,co2,samples_machine_readable.csv,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p004_T30_0ppm_fit\samples_machine_readable.csv,49662,49662,d61baa3c7a7cc3a66c0dfbfaf71ca0b4a899fe1f96b908d3fa3f79a9ec77bcc8,d61baa3c7a7cc3a66c0dfbfaf71ca0b4a899fe1f96b908d3fa3f79a9ec77bcc8,match
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p005_T30_100ppm_fit,co2,formal_open_flow_data_quality_by_analyzer.csv,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p005_T30_100ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,891,891,38d235f489ec20c6912a1aacdf946e456e833c7e36294997ec04e7c30bcfb5e4,38d235f489ec20c6912a1aacdf946e456e833c7e36294997ec04e7c30bcfb5e4,match
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p005_T30_100ppm_fit,co2,formal_open_flow_route_timing.json,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p005_T30_100ppm_fit\formal_open_flow_route_timing.json,570,570,488664e60342ccbf5c7c260fc6df09b74274bda80091b002db69c52f6bfdebce,488664e60342ccbf5c7c260fc6df09b74274bda80091b002db69c52f6bfdebce,match
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p005_T30_100ppm_fit,co2,formal_open_flow_sidecar_metadata.json,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p005_T30_100ppm_fit\formal_open_flow_sidecar_metadata.json,1206,1206,08809af34cbb5e021919f7ac66a6964fd210261c898550612d0e7ac9b5a34a8a,08809af34cbb5e021919f7ac66a6964fd210261c898550612d0e7ac9b5a34a8a,match
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p005_T30_100ppm_fit,co2,frame_quality_summary.csv,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p005_T30_100ppm_fit\frame_quality_summary.csv,496,496,0f3e036d0150b9bf0a0c1b40e1d07f93d9b46589628899594d9ddb041a8f4b20,0f3e036d0150b9bf0a0c1b40e1d07f93d9b46589628899594d9ddb041a8f4b20,match
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p005_T30_100ppm_fit,co2,runtime_config_snapshot.json,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p005_T30_100ppm_fit\runtime_config_snapshot.json,50343,50343,afdf7fa4ab01fe68bdc4c20a29b48eddc668ba3ebb7bb80935d699387c3a3000,afdf7fa4ab01fe68bdc4c20a29b48eddc668ba3ebb7bb80935d699387c3a3000,match
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p005_T30_100ppm_fit,co2,samples_machine_readable.csv,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p005_T30_100ppm_fit\samples_machine_readable.csv,49885,49885,634e0a87c80eef0b3dd7e80cd07e463ab67f6a4595569fe618c89901a3767194,634e0a87c80eef0b3dd7e80cd07e463ab67f6a4595569fe618c89901a3767194,match
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p006_T30_200ppm_fit,co2,formal_open_flow_data_quality_by_analyzer.csv,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p006_T30_200ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,906,906,aeb97f2067f34353f875e93e29523ab48d8b410105b27181e23d2e52c938143c,aeb97f2067f34353f875e93e29523ab48d8b410105b27181e23d2e52c938143c,match
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p006_T30_200ppm_fit,co2,formal_open_flow_route_timing.json,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p006_T30_200ppm_fit\formal_open_flow_route_timing.json,570,570,7fe242c657cc72d35b13464c4b6500d4644ac678a9c85986f1690fef037cec48,7fe242c657cc72d35b13464c4b6500d4644ac678a9c85986f1690fef037cec48,match
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p006_T30_200ppm_fit,co2,formal_open_flow_sidecar_metadata.json,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p006_T30_200ppm_fit\formal_open_flow_sidecar_metadata.json,1204,1204,06548ff800794e8db21fae5f20dd99904734e176c7f327236b6e7b8ca8519500,06548ff800794e8db21fae5f20dd99904734e176c7f327236b6e7b8ca8519500,match
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p006_T30_200ppm_fit,co2,frame_quality_summary.csv,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p006_T30_200ppm_fit\frame_quality_summary.csv,496,496,95cca7ba24f76f2696d2b9d37bae3ab8ee119db188c104a79cf51bdc426f8427,95cca7ba24f76f2696d2b9d37bae3ab8ee119db188c104a79cf51bdc426f8427,match
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p006_T30_200ppm_fit,co2,runtime_config_snapshot.json,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p006_T30_200ppm_fit\runtime_config_snapshot.json,50343,50343,afdf7fa4ab01fe68bdc4c20a29b48eddc668ba3ebb7bb80935d699387c3a3000,afdf7fa4ab01fe68bdc4c20a29b48eddc668ba3ebb7bb80935d699387c3a3000,match
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p006_T30_200ppm_fit,co2,samples_machine_readable.csv,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p006_T30_200ppm_fit\samples_machine_readable.csv,49887,49887,60bc8e7467407e985eec9595feef3af3c99b42793825dff0d4cc007c6a0eac3d,60bc8e7467407e985eec9595feef3af3c99b42793825dff0d4cc007c6a0eac3d,match
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p007_T30_300ppm_fit,co2,formal_open_flow_data_quality_by_analyzer.csv,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p007_T30_300ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,881,881,606669bdae6eaf0999ffa27628cf6a396e73d3b23cc4b8814dc8c570ca59c19e,606669bdae6eaf0999ffa27628cf6a396e73d3b23cc4b8814dc8c570ca59c19e,match
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p007_T30_300ppm_fit,co2,formal_open_flow_route_timing.json,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p007_T30_300ppm_fit\formal_open_flow_route_timing.json,570,570,b70a5144190743c920ff19f78e20b997698fb0c4f31e7c214c807adc58ed4cd8,b70a5144190743c920ff19f78e20b997698fb0c4f31e7c214c807adc58ed4cd8,match
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p007_T30_300ppm_fit,co2,formal_open_flow_sidecar_metadata.json,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p007_T30_300ppm_fit\formal_open_flow_sidecar_metadata.json,1206,1206,a1f99039d8dab4db43b06da671dd21c905738a47882039b6fcdff26aa1565a9c,a1f99039d8dab4db43b06da671dd21c905738a47882039b6fcdff26aa1565a9c,match
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p007_T30_300ppm_fit,co2,frame_quality_summary.csv,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p007_T30_300ppm_fit\frame_quality_summary.csv,496,496,1657d7acc936a98bce8643ea7598551673b3f9cd8b765601036dd1f57cbf673b,1657d7acc936a98bce8643ea7598551673b3f9cd8b765601036dd1f57cbf673b,match
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p007_T30_300ppm_fit,co2,runtime_config_snapshot.json,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p007_T30_300ppm_fit\runtime_config_snapshot.json,50343,50343,afdf7fa4ab01fe68bdc4c20a29b48eddc668ba3ebb7bb80935d699387c3a3000,afdf7fa4ab01fe68bdc4c20a29b48eddc668ba3ebb7bb80935d699387c3a3000,match
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p007_T30_300ppm_fit,co2,samples_machine_readable.csv,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p007_T30_300ppm_fit\samples_machine_readable.csv,49904,49904,0ff6cbb38ba40a8f25b3427dfbf2d2d479c2884a78b919ebd462ce33f44e82b6,0ff6cbb38ba40a8f25b3427dfbf2d2d479c2884a78b919ebd462ce33f44e82b6,match
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p008_T30_400ppm_fit,co2,formal_open_flow_data_quality_by_analyzer.csv,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p008_T30_400ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,907,907,e264d0f43845f4cb34bedfd94a6222b6036062cedeac403794c1ae8328718c8d,e264d0f43845f4cb34bedfd94a6222b6036062cedeac403794c1ae8328718c8d,match
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p008_T30_400ppm_fit,co2,formal_open_flow_route_timing.json,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p008_T30_400ppm_fit\formal_open_flow_route_timing.json,570,570,f3c34a6d15b93ac78b24da0edff36b38d106b0c96c6b42ab661a28820e02b41d,f3c34a6d15b93ac78b24da0edff36b38d106b0c96c6b42ab661a28820e02b41d,match
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p008_T30_400ppm_fit,co2,formal_open_flow_sidecar_metadata.json,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p008_T30_400ppm_fit\formal_open_flow_sidecar_metadata.json,1204,1204,17179eab00b2732310934e288a82d518e36ad9ad716f8e4d924ed064c83b630f,17179eab00b2732310934e288a82d518e36ad9ad716f8e4d924ed064c83b630f,match
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p008_T30_400ppm_fit,co2,frame_quality_summary.csv,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p008_T30_400ppm_fit\frame_quality_summary.csv,496,496,b2d6a75d3d5a8c329017d63140b0d5e91f14b08b4f3e43a129c75552fd42e6ab,b2d6a75d3d5a8c329017d63140b0d5e91f14b08b4f3e43a129c75552fd42e6ab,match
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p008_T30_400ppm_fit,co2,runtime_config_snapshot.json,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p008_T30_400ppm_fit\runtime_config_snapshot.json,50343,50343,afdf7fa4ab01fe68bdc4c20a29b48eddc668ba3ebb7bb80935d699387c3a3000,afdf7fa4ab01fe68bdc4c20a29b48eddc668ba3ebb7bb80935d699387c3a3000,match
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p008_T30_400ppm_fit,co2,samples_machine_readable.csv,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p008_T30_400ppm_fit\samples_machine_readable.csv,49931,49931,c347d8c604410c4b5db184b439e42a0942c13cf812bf182a3e564469a814b778,c347d8c604410c4b5db184b439e42a0942c13cf812bf182a3e564469a814b778,match
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p009_T30_500ppm_fit,co2,formal_open_flow_data_quality_by_analyzer.csv,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p009_T30_500ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,873,873,412bdd63eb99f5aaa4a11d055047a5533c5481da6325e49eb5469792177aa451,412bdd63eb99f5aaa4a11d055047a5533c5481da6325e49eb5469792177aa451,match
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p009_T30_500ppm_fit,co2,formal_open_flow_route_timing.json,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p009_T30_500ppm_fit\formal_open_flow_route_timing.json,570,570,724d0ec1c21180c21f734b63ba1f4978ab8121ac190d5061bc2eaadc8db79457,724d0ec1c21180c21f734b63ba1f4978ab8121ac190d5061bc2eaadc8db79457,match
