ts,elapsed_since_route_close_s,event_type,source,trace_stage,detail,pace_pressure_hpa,com22_pressure_hpa,dewpoint_c,duration_s,blocking_gate_or_function,required_by_v2_protected_path
2026-05-19T13:05:33.745,25.868,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1196.5177002, 0",,,,,,
2026-05-19T13:05:33.748,25.871,VENT? query,pace_raw_serial_tap,,:SOUR:PRES:LEV:IMM:AMPL:VENT?,,,,,,
2026-05-19T13:05:34.839,26.962,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:05:34.839,26.962,VENT? result,pace_raw_serial_tap,,:SOUR:PRES:LEV:IMM:AMPL:VENT 2,,,,,,
2026-05-19T13:05:35.918,28.041,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1195.1096191, 0",,,,,,
2026-05-19T13:05:35.920,28.043,OUTP mode command/query,pace_raw_serial_tap,,:OUTP:MODE?,,,,,,
2026-05-19T13:05:36.020,28.143,dewpoint timeline,COM17 io_log,,dewpoint=-28.12C temp=30.86C rh=0.0%,,,-28.12,,,
2026-05-19T13:05:36.994,29.117,PACE RX,pace_raw_serial_tap,,:OUTP:MODE ACT,,,,,,
2026-05-19T13:05:36.995,29.118,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:05:38.083,30.206,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1193.7180176, 0",,,,,,
2026-05-19T13:05:38.084,30.207,SYST:ERR? query,pace_raw_serial_tap,,:SYST:ERR?,,,,,,
2026-05-19T13:05:38.770,30.893,dewpoint timeline,COM17 io_log,,dewpoint=-27.07C temp=30.86C rh=0.0%,,,-27.07,,,
2026-05-19T13:05:39.142,31.265,SYST:ERR result,pace_raw_serial_tap,,":SYST:ERR 0, No error",,,,,,
2026-05-19T13:05:39.143,31.266,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:05:40.221,32.344,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1192.4273682, 0",,,,,,
2026-05-19T13:05:40.222,32.345,OUTP? query,pace_raw_serial_tap,,:OUTP:STAT?,,,,,,
2026-05-19T13:05:41.280,33.403,OUTP? result,pace_raw_serial_tap,,:OUTP:STAT 0,,,,,,
2026-05-19T13:05:41.282,33.405,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:05:41.527,33.65,dewpoint timeline,COM17 io_log,,dewpoint=-25.99C temp=30.86C rh=0.0%,,,-25.99,,,
2026-05-19T13:05:42.358,34.481,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1191.0673828, 0",,,,,,
2026-05-19T13:05:42.360,34.483,ISOL? query,pace_raw_serial_tap,,:OUTP:ISOL:STAT?,,,,,,
2026-05-19T13:05:43.416,35.539,ISOL? result,pace_raw_serial_tap,,:OUTP:ISOL:STAT 1,,,,,,
2026-05-19T13:05:43.418,35.541,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:05:44.284,36.407,dewpoint timeline,COM17 io_log,,dewpoint=-24.89C temp=30.86C rh=0.0%,,,-24.89,,,
2026-05-19T13:05:44.495,36.618,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1189.7978516, 0",,,,,,
2026-05-19T13:05:44.497,36.62,VENT? query,pace_raw_serial_tap,,:SOUR:PRES:LEV:IMM:AMPL:VENT?,,,,,,
2026-05-19T13:05:45.600,37.723,VENT? result,pace_raw_serial_tap,,:SOUR:PRES:LEV:IMM:AMPL:VENT 2,,,,,,
2026-05-19T13:05:45.602,37.725,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:05:46.674,38.797,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1188.4655762, 0",,,,,,
2026-05-19T13:05:46.677,38.8,OUTP mode command/query,pace_raw_serial_tap,,:OUTP:MODE?,,,,,,
2026-05-19T13:05:47.030,39.153,dewpoint timeline,COM17 io_log,,dewpoint=-23.65C temp=30.86C rh=0.0%,,,-23.65,,,
2026-05-19T13:05:47.735,39.858,PACE RX,pace_raw_serial_tap,,:OUTP:MODE ACT,,,,,,
2026-05-19T13:05:47.736,39.859,SYST:ERR? query,pace_raw_serial_tap,,:SYST:ERR?,,,,,,
2026-05-19T13:05:48.796,40.919,SYST:ERR result,pace_raw_serial_tap,,":SYST:ERR 0, No error",,,,,,
2026-05-19T13:05:48.797,40.92,trace_stage,pressure_transition_trace,post_seal_vent_abort_clear,post-seal VENT0 abort/clear diagnostic; allowed=false sent=false,,,,,,
2026-05-19T13:05:48.798,40.921,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:05:49.785,41.908,dewpoint timeline,COM17 io_log,,dewpoint=-22.55C temp=30.86C rh=0.0%,,,-22.55,,,
2026-05-19T13:05:49.874,41.997,OUTP? query,pace_raw_serial_tap,,:OUTP:STAT?,,,,,,
2026-05-19T13:05:49.874,41.997,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1186.5269775, 0",,,,,,
2026-05-19T13:05:50.941,43.064,OUTP? result,pace_raw_serial_tap,,:OUTP:STAT 0,,,,,,
2026-05-19T13:05:50.941,43.064,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:05:52.019,44.142,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1185.3034668, 0",,,,,,
2026-05-19T13:05:52.020,44.143,ISOL? query,pace_raw_serial_tap,,:OUTP:ISOL:STAT?,,,,,,
2026-05-19T13:05:52.193,44.316,dewpoint timeline,COM17 io_log,,dewpoint=-21.49C temp=30.86C rh=0.0%,,,-21.49,,,
2026-05-19T13:05:53.098,45.221,ISOL? result,pace_raw_serial_tap,,:OUTP:ISOL:STAT 1,,,,,,
2026-05-19T13:05:53.099,45.222,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:05:54.177,46.3,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1184.0106201, 0",,,,,,
2026-05-19T13:05:54.177,46.3,VENT? query,pace_raw_serial_tap,,:SOUR:PRES:LEV:IMM:AMPL:VENT?,,,,,,
2026-05-19T13:05:54.908,47.031,dewpoint timeline,COM17 io_log,,dewpoint=-20.47C temp=30.86C rh=0.0%,,,-20.47,,,
2026-05-19T13:05:55.266,47.389,VENT? result,pace_raw_serial_tap,,:SOUR:PRES:LEV:IMM:AMPL:VENT 2,,,,,,
2026-05-19T13:05:55.267,47.39,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:05:56.339,48.462,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1182.7297363, 0",,,,,,
2026-05-19T13:05:56.341,48.464,OUTP mode command/query,pace_raw_serial_tap,,:OUTP:MODE?,,,,,,
2026-05-19T13:05:57.397,49.52,PACE RX,pace_raw_serial_tap,,:OUTP:MODE ACT,,,,,,
2026-05-19T13:05:57.399,49.522,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:05:57.611,49.734,dewpoint timeline,COM17 io_log,,dewpoint=-19.5C temp=30.86C rh=0.0%,,,-19.5,,,
2026-05-19T13:05:58.474,50.597,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1181.5358887, 0",,,,,,
2026-05-19T13:05:58.476,50.599,SYST:ERR? query,pace_raw_serial_tap,,:SYST:ERR?,,,,,,
2026-05-19T13:05:59.532,51.655,SYST:ERR result,pace_raw_serial_tap,,":SYST:ERR 0, No error",,,,,,
2026-05-19T13:05:59.532,51.655,operator_window_check,pressure_transition_trace,controlled_exit_atmosphere_verify,"result=verify_after_route_close; exit_method=completed_no_abort; reason=before CO2 pressure seal; wait_status=2; VENT?=2; OUTP:STAT=0; OUTP:MODE=ACT; ISOL:STAT=1; SYST:ERR?=:SYST:ERR 0, No error; operator_window_confirm_mode=deferred_after_route_close; operator_window_clear_timeout_s=; operator_window_cleared_after_vent0=deferred; operator_window_note=route already closed; VENT?=3 remains diagnostic-only; operator_window_response_raw=",,,,,,
2026-05-19T13:05:59.533,51.656,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:05:59.533,51.656,operator_window_check,pressure_transition_trace,controlled_exit_atmosphere_pass,"result=pass_after_route_close; exit_method=completed_no_abort; reason=before CO2 pressure seal; wait_status=2; VENT?=2; OUTP:STAT=0; OUTP:MODE=ACT; ISOL:STAT=1; SYST:ERR?=:SYST:ERR 0, No error; operator_window_confirm_mode=deferred_after_route_close; operator_window_clear_timeout_s=; operator_window_cleared_after_vent0=deferred; operator_window_note=operator observation runs after deterministic route seal; operator_window_response_raw=",,,,,,
2026-05-19T13:06:00.367,52.49,dewpoint timeline,COM17 io_log,,dewpoint=-18.6C temp=30.86C rh=0.0%,,,-18.6,,,
2026-05-19T13:06:00.607,52.73,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1180.3552246, 0",,,,,,
2026-05-19T13:06:00.609,52.732,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:06:01.682,53.805,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1179.6900635, 0",,,,,,
2026-05-19T13:06:01.683,53.806,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:06:02.762,54.885,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1179.1038818, 0",,,,,,
2026-05-19T13:06:02.864,54.987,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:06:03.121,55.244,dewpoint timeline,COM17 io_log,,dewpoint=-17.79C temp=30.86C rh=0.0%,,,-17.79,,,
2026-05-19T13:06:03.934,56.057,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1178.4442139, 0",,,,,,
2026-05-19T13:06:03.935,56.058,OUTP? query,pace_raw_serial_tap,,:OUTP:STAT?,,,,,,
2026-05-19T13:06:04.989,57.112,OUTP? result,pace_raw_serial_tap,,:OUTP:STAT 0,,,,,,
2026-05-19T13:06:04.991,57.114,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:06:05.887,58.01,dewpoint timeline,COM17 io_log,,dewpoint=-17.03C temp=30.86C rh=0.0%,,,-17.03,,,
2026-05-19T13:06:06.089,58.212,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1177.2089844, 0",,,,,,
2026-05-19T13:06:06.090,58.213,ISOL? query,pace_raw_serial_tap,,:OUTP:ISOL:STAT?,,,,,,
2026-05-19T13:06:07.154,59.277,ISOL? result,pace_raw_serial_tap,,:OUTP:ISOL:STAT 1,,,,,,
2026-05-19T13:06:07.155,59.278,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:06:08.227,60.35,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1176.0560303, 0",,,,,,
2026-05-19T13:06:08.229,60.352,VENT? query,pace_raw_serial_tap,,:SOUR:PRES:LEV:IMM:AMPL:VENT?,,,,,,
2026-05-19T13:06:08.666,60.789,dewpoint timeline,COM17 io_log,,dewpoint=-16.36C temp=30.86C rh=0.0%,,,-16.36,,,
2026-05-19T13:06:09.319,61.442,VENT? result,pace_raw_serial_tap,,:SOUR:PRES:LEV:IMM:AMPL:VENT 2,,,,,,
2026-05-19T13:06:09.319,61.442,trace_stage,pressure_transition_trace,controlled_outp_pressure_rise_diagnostic,pressure_rise_observed=false com22_baseline=None com22_after_1p5s=1176.973 pace_baseline=1128.4940186 pace_after_1p5s=1179.6900635 pressure_rise_delta_hpa=None; pressure-rise is diagnostic only and does not block route seal,1179.6900635,1176.973,,,,
2026-05-19T13:06:09.320,61.443,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:06:10.399,62.522,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1174.8394775, 0",,,,,,
2026-05-19T13:06:10.401,62.524,OUTP? query,pace_raw_serial_tap,,:OUTP:STAT?,,,,,,
2026-05-19T13:06:11.425,63.548,dewpoint timeline,COM17 io_log,,dewpoint=-15.79C temp=30.86C rh=0.0%,,,-15.79,,,
2026-05-19T13:06:11.459,63.582,OUTP? result,pace_raw_serial_tap,,:OUTP:STAT 0,,,,,,
2026-05-19T13:06:11.461,63.584,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:06:12.535,64.658,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1173.6838379, 0",,,,,,
2026-05-19T13:06:12.536,64.659,ISOL? query,pace_raw_serial_tap,,:OUTP:ISOL:STAT?,,,,,,
2026-05-19T13:06:13.597,65.72,ISOL? result,pace_raw_serial_tap,,:OUTP:ISOL:STAT 1,,,,,,
2026-05-19T13:06:13.600,65.723,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:06:13.814,65.937,dewpoint timeline,COM17 io_log,,dewpoint=-15.24C temp=30.86C rh=0.0%,,,-15.24,,,
2026-05-19T13:06:14.679,66.802,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1172.4647217, 0",,,,,,
2026-05-19T13:06:14.682,66.805,VENT? query,pace_raw_serial_tap,,:SOUR:PRES:LEV:IMM:AMPL:VENT?,,,,,,
2026-05-19T13:06:15.781,67.904,VENT? result,pace_raw_serial_tap,,:SOUR:PRES:LEV:IMM:AMPL:VENT 2,,,,,,
2026-05-19T13:06:15.782,67.905,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:06:16.862,68.985,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1171.2476807, 0",,,,,,
2026-05-19T13:06:16.866,68.989,OUTP mode command/query,pace_raw_serial_tap,,:OUTP:MODE?,,,,,,
2026-05-19T13:06:17.923,70.046,PACE RX,pace_raw_serial_tap,,:OUTP:MODE ACT,,,,,,
2026-05-19T13:06:17.925,70.048,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:06:19.014,71.137,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1170.1102295, 0",,,,,,
2026-05-19T13:06:19.015,71.138,SYST:ERR? query,pace_raw_serial_tap,,:SYST:ERR?,,,,,,
2026-05-19T13:06:19.232,71.355,dewpoint timeline,COM17 io_log,,dewpoint=-14.49C temp=30.86C rh=0.0%,,,-14.49,,,
2026-05-19T13:06:20.387,72.51,SYST:ERR result,pace_raw_serial_tap,,":SYST:ERR 0, No error",,,,,,
2026-05-19T13:06:20.387,72.51,operator_window_check,pressure_transition_trace,operator_window_check_begin,window_check_timing=after_fixed_preseal_wait_after_route_seal; require_operator_window_clear_after_vent0=true; operator_window_confirm_mode=console; operator_window_clear_timeout_s=30.000; exit_method=pace.exit_atmosphere_mode; vent_status_after_vent0_classification=vent_completed_ready,,,,,,
2026-05-19T13:06:20.388,72.511,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:06:20.388,72.511,operator_window_check,pressure_transition_trace,operator_window_prompt_printed,window_check_timing=after_fixed_preseal_wait_after_route_seal; operator_window_confirm_mode=console; operator_window_clear_timeout_s=30.000; prompt=[operator-confirm] PACE VENT0 已完成。请观察压力控制器通大气小窗口是否消失。输入 YES 继续封路；输入 NO fail closed。; prompt_error=,,,,,,
2026-05-19T13:06:21.460,73.583,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1168.7770996, 0",,,,,,
2026-05-19T13:06:21.564,73.687,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:06:22.656,74.779,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1168.1496582, 0",,,,,,
2026-05-19T13:06:22.758,74.881,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:06:23.844,75.967,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1167.4588623, 0",,,,,,
2026-05-19T13:06:23.946,76.069,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:06:25.018,77.141,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1166.8354492, 0",,,,,,
2026-05-19T13:06:25.120,77.243,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:06:26.202,78.325,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1166.2216797, 0",,,,,,
2026-05-19T13:06:26.303,78.426,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:06:27.376,79.499,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1165.6051025, 0",,,,,,
2026-05-19T13:06:27.479,79.602,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:06:27.500,79.623,dewpoint timeline,COM17 io_log,,dewpoint=-13.85C temp=30.86C rh=0.0%,,,-13.85,,,
2026-05-19T13:06:28.551,80.674,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1164.9908447, 0",,,,,,
2026-05-19T13:06:28.655,80.778,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:06:29.722,81.845,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1164.3787842, 0",,,,,,
2026-05-19T13:06:29.825,81.948,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:06:30.900,83.023,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1163.7764893, 0",,,,,,
2026-05-19T13:06:31.002,83.125,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:06:32.068,84.191,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1163.1673584, 0",,,,,,
2026-05-19T13:06:32.170,84.293,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:06:33.241,85.364,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1162.5614014, 0",,,,,,
2026-05-19T13:06:33.343,85.466,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:06:34.415,86.538,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1161.9667969, 0",,,,,,
2026-05-19T13:06:34.518,86.641,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:06:35.590,87.713,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1161.3682861, 0",,,,,,
2026-05-19T13:06:35.691,87.814,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:06:36.775,88.898,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1160.7708740, 0",,,,,,
2026-05-19T13:06:36.877,89.0,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:06:37.959,90.082,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1160.1748047, 0",,,,,,
